scenario,selection_mode,scale_mm,n,H_low_Dice_median,H_high_Dice_median,H_high_fraction_ICC_2_1
any_ge_fat_mean,R1_only,4.0,20,0.8135525093612681,0.8058970836203617,0.39651969160010553
any_ge_fat_mean,R1_only,6.0,20,0.8336295925463385,0.7731175361105131,0.6049912891643106
any_ge_fat_mean,R1_only,8.0,20,0.7993789348750484,0.7294481885544556,0.5480684752856275
any_ge_fat_mean,both_readers,4.0,19,0.8044382801664355,0.8071889040828287,0.39606853716373935
any_ge_fat_mean,both_readers,6.0,19,0.8863301989381437,0.853567365512758,0.6297926522397768
any_ge_fat_mean,both_readers,8.0,19,0.814498933901919,0.7975495495495496,0.5753424391749182
lenient,R1_only,4.0,18,0.7728905468936221,0.8435472929578369,0.4545821360709835
lenient,R1_only,6.0,18,0.7769952417403683,0.8678470611705927,0.5957977931275052
lenient,R1_only,8.0,18,0.7993789348750484,0.8273573719133879,0.6223193814595658
lenient,both_readers,4.0,17,0.7231143552311435,0.8824893227577791,0.455028356054885
lenient,both_readers,6.0,17,0.7809289861545333,0.8821267568284274,0.6202610284370348
lenient,both_readers,8.0,17,0.814498933901919,0.8571651942772262,0.6557232506150747
equiv_64vox,R1_only,4.0,12,0.8058738001331711,0.8846535775971832,0.6777362027008684
equiv_64vox,R1_only,6.0,12,0.8088078074917382,0.9015616774285777,0.7226879261043566
equiv_64vox,R1_only,8.0,12,0.7941996033241324,0.8595872991825628,0.7078806272361803
equiv_64vox,both_readers,4.0,12,0.8058738001331711,0.8846535775971832,0.6777362027008684
equiv_64vox,both_readers,6.0,12,0.8088078074917382,0.9015616774285777,0.7226879261043566
equiv_64vox,both_readers,8.0,12,0.7941996033241324,0.8595872991825628,0.7078806272361803
fraction_0.1pct,R1_only,4.0,18,0.7728905468936221,0.8435472929578369,0.4545821360709835
fraction_0.1pct,R1_only,6.0,18,0.7769952417403683,0.8678470611705927,0.5957977931275052
fraction_0.1pct,R1_only,8.0,18,0.7993789348750484,0.8273573719133879,0.6223193814595658
fraction_0.1pct,both_readers,4.0,17,0.7231143552311435,0.8824893227577791,0.455028356054885
fraction_0.1pct,both_readers,6.0,17,0.7809289861545333,0.8821267568284274,0.6202610284370348
fraction_0.1pct,both_readers,8.0,17,0.814498933901919,0.8571651942772262,0.6557232506150747
fraction_0.25pct,R1_only,4.0,13,0.71338199513382,0.8824893227577791,0.3688074966451465
fraction_0.25pct,R1_only,6.0,13,0.7312854160453326,0.898821385868018,0.6400852271067679
fraction_0.25pct,R1_only,8.0,13,0.7739002727463459,0.8587125721087813,0.6387529869752226
fraction_0.25pct,both_readers,4.0,13,0.71338199513382,0.8824893227577791,0.3688074966451465
fraction_0.25pct,both_readers,6.0,13,0.7312854160453326,0.898821385868018,0.6400852271067679
fraction_0.25pct,both_readers,8.0,13,0.7739002727463459,0.8587125721087813,0.6387529869752226
fraction_0.5pct,R1_only,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
fraction_0.5pct,R1_only,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
fraction_0.5pct,R1_only,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
fraction_0.5pct,both_readers,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
fraction_0.5pct,both_readers,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
fraction_0.5pct,both_readers,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
fraction_1pct,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
fraction_1pct,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
fraction_1pct,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
fraction_1pct,both_readers,4.0,8,0.6954582319545823,0.8846535775971832,0.5413599424409935
fraction_1pct,both_readers,6.0,8,0.8088078074917382,0.9104427757873571,0.7895323819258597
fraction_1pct,both_readers,8.0,8,0.7941996033241324,0.8759261644447129,0.8089667629149949
volume128_fraction0.5,R1_only,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
volume128_fraction0.5,R1_only,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
volume128_fraction0.5,R1_only,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
volume128_fraction0.5,both_readers,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
volume128_fraction0.5,both_readers,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
volume128_fraction0.5,both_readers,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
volume128_fraction1,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
volume128_fraction1,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
volume128_fraction1,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
volume128_fraction1,both_readers,4.0,8,0.6954582319545823,0.8846535775971832,0.5413599424409935
volume128_fraction1,both_readers,6.0,8,0.8088078074917382,0.9104427757873571,0.7895323819258597
volume128_fraction1,both_readers,8.0,8,0.7941996033241324,0.8759261644447129,0.8089667629149949
volume256_fraction0.5,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
volume256_fraction0.5,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
volume256_fraction0.5,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
volume256_fraction0.5,both_readers,4.0,9,0.71338199513382,0.8868178324365873,0.6539323327970215
volume256_fraction0.5,both_readers,6.0,9,0.7312854160453326,0.9043019689891376,0.6511777569843732
volume256_fraction0.5,both_readers,8.0,9,0.814498933901919,0.8620094040878994,0.7911542215729829
volume256_fraction1,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
volume256_fraction1,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
volume256_fraction1,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
volume256_fraction1,both_readers,4.0,8,0.6954582319545823,0.8846535775971832,0.5413599424409935
volume256_fraction1,both_readers,6.0,8,0.8088078074917382,0.9104427757873571,0.7895323819258597
volume256_fraction1,both_readers,8.0,8,0.7941996033241324,0.8759261644447129,0.8089667629149949
volume256_fraction1_core16,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
volume256_fraction1_core16,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
volume256_fraction1_core16,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
volume256_fraction1_core16,both_readers,4.0,8,0.6954582319545823,0.8846535775971832,0.5413599424409935
volume256_fraction1_core16,both_readers,6.0,8,0.8088078074917382,0.9104427757873571,0.7895323819258597
volume256_fraction1_core16,both_readers,8.0,8,0.7941996033241324,0.8759261644447129,0.8089667629149949
volume256_fraction1_lcc128,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
volume256_fraction1_lcc128,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
volume256_fraction1_lcc128,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
volume256_fraction1_lcc128,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
volume256_fraction1_lcc128,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
volume256_fraction1_lcc128,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
fraction1_lcc128_core32,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
fraction1_lcc128_core32,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
fraction1_lcc128_core32,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
fraction1_lcc128_core32,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
fraction1_lcc128_core32,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
fraction1_lcc128_core32,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
volume128_fraction1_lcc128_core32,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
volume128_fraction1_lcc128_core32,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
volume128_fraction1_lcc128_core32,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
volume128_fraction1_lcc128_core32,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
volume128_fraction1_lcc128_core32,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
volume128_fraction1_lcc128_core32,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
volume128_fraction0.5_lcc128_core32,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
volume128_fraction0.5_lcc128_core32,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
volume128_fraction0.5_lcc128_core32,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
volume128_fraction0.5_lcc128_core32,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
volume128_fraction0.5_lcc128_core32,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
volume128_fraction0.5_lcc128_core32,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
volume256_fraction0.5_lcc128_core32,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
volume256_fraction0.5_lcc128_core32,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
volume256_fraction0.5_lcc128_core32,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
volume256_fraction0.5_lcc128_core32,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
volume256_fraction0.5_lcc128_core32,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
volume256_fraction0.5_lcc128_core32,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
volume128_fraction0.5_core16,R1_only,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
volume128_fraction0.5_core16,R1_only,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
volume128_fraction0.5_core16,R1_only,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
volume128_fraction0.5_core16,both_readers,4.0,11,0.71338199513382,0.8824893227577791,0.674008593332569
volume128_fraction0.5_core16,both_readers,6.0,11,0.7312854160453326,0.898821385868018,0.7250445569708142
volume128_fraction0.5_core16,both_readers,8.0,11,0.7739002727463459,0.8620094040878994,0.7128513406341062
balanced,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
balanced,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
balanced,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
balanced,both_readers,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
balanced,both_readers,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
balanced,both_readers,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
recommended,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
recommended,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
recommended,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
recommended,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
recommended,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
recommended,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
spatial_lenient,R1_only,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
spatial_lenient,R1_only,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
spatial_lenient,R1_only,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
spatial_lenient,both_readers,4.0,10,0.8058738001331711,0.8846535775971832,0.6741164809145213
spatial_lenient,both_readers,6.0,10,0.8088078074917382,0.9015616774285777,0.7051067687252026
spatial_lenient,both_readers,8.0,10,0.7941996033241324,0.8297794768187245,0.688135577189258
strict,R1_only,4.0,9,0.8983656051325224,0.8824893227577791,0.6048121796527062
strict,R1_only,6.0,9,0.8863301989381437,0.9043019689891376,0.7949969781415976
strict,R1_only,8.0,9,0.7739002727463459,0.7975495495495496,0.6676461962390148
strict,both_readers,4.0,7,0.71338199513382,0.8824893227577791,0.44836094547694233
strict,both_readers,6.0,7,0.8863301989381437,0.9165835825855766,0.9216117855310584
strict,both_readers,8.0,7,0.7739002727463459,0.8620094040878994,0.8016535757828859
