scenario,volume_mm3,ALL_n,ALL_pass_n,ALL_pass_rate,A_n,A_pass_n,A_pass_rate,B_n,B_pass_n,B_pass_rate,paired_same_sequence_n,paired_agreement,paired_kappa,paired_R1_pass_n,paired_R2_pass_n,paired_both_pass_n,fraction,core2_mm3,lcc_mm3,lcc_core2_mm3
any_ge_fat_mean,1e-12,693,635,0.9163059163059163,530,498,0.939622641509434,163,137,0.8404907975460123,27,0.8888888888888888,0.0,24,27,24,,,,
equiv_64vox,128.0,693,261,0.37662337662337664,530,216,0.4075471698113208,163,45,0.27607361963190186,27,0.8148148148148148,0.6399999999999999,12,17,12,,,,
fraction_0.1pct,,693,500,0.7215007215007215,530,393,0.7415094339622641,163,107,0.656441717791411,27,0.7407407407407407,0.2758620689655172,18,25,18,0.001,,,
fraction_0.25pct,,693,394,0.5685425685425686,530,313,0.590566037735849,163,81,0.49693251533742333,27,0.8148148148148148,0.6341463414634144,13,18,13,0.0025,,,
fraction_0.5pct,,693,314,0.4531024531024531,530,251,0.47358490566037736,163,63,0.38650306748466257,27,0.8518518518518519,0.7096774193548387,11,15,11,0.005,,,
fraction_1pct,,693,243,0.35064935064935066,530,200,0.37735849056603776,163,43,0.26380368098159507,27,0.8518518518518519,0.6823529411764706,10,10,8,0.01,,,
volume128_fraction0.1,128.0,693,261,0.37662337662337664,530,216,0.4075471698113208,163,45,0.27607361963190186,27,0.8148148148148148,0.6399999999999999,12,17,12,0.001,,,
volume128_fraction0.5,128.0,693,249,0.3593073593073593,530,207,0.3905660377358491,163,42,0.25766871165644173,27,0.8518518518518519,0.7096774193548387,11,15,11,0.005,,,
volume128_fraction0.5_core_any,128.0,693,249,0.3593073593073593,530,207,0.3905660377358491,163,42,0.25766871165644173,27,0.8518518518518519,0.7096774193548387,11,15,11,0.005,1e-12,,
volume128_fraction0.5_core16,128.0,693,240,0.3463203463203463,530,200,0.37735849056603776,163,40,0.24539877300613497,27,0.8518518518518519,0.7096774193548387,11,15,11,0.005,16.0,,
balanced,128.0,693,189,0.2727272727272727,530,157,0.2962264150943396,163,32,0.19631901840490798,27,0.9259259259259259,0.847457627118644,10,12,10,0.005,16.0,64.0,8.0
lenient,64.0,693,225,0.3246753246753247,530,189,0.35660377358490564,163,36,0.22085889570552147,27,0.8518518518518519,0.7065217391304348,10,14,10,0.0025,8.0,32.0,2.0
strict,256.0,693,157,0.22655122655122656,530,135,0.25471698113207547,163,22,0.13496932515337423,27,0.8888888888888888,0.7428571428571427,9,8,7,0.01,32.0,128.0,16.0
