变体,尺度mm,K,descriptor,n,ICC_2_1
isotropic_2x2x2,4.0,2,H_high_fraction,18,0.6895002735379595
isotropic_2x2x2,4.0,2,H_high_largest_component_fraction,18,0.5457562671260053
isotropic_2x2x2,4.0,2,H_high_component_density,18,0.32627266123469895
isotropic_2x2x2,4.0,2,habitat_interface_density,18,0.1265320947594476
isotropic_2x2x2,4.0,2,H_high_radial_index,4,0.5024021170877391
isotropic_2x2x2,4.0,2,signal_contrast,1,
isotropic_2x2x2,4.0,3,H_high_fraction,18,0.7118639997923558
isotropic_2x2x2,4.0,3,H_high_largest_component_fraction,18,0.8594053492274902
isotropic_2x2x2,4.0,3,H_high_component_density,18,0.4705160678799844
isotropic_2x2x2,4.0,3,habitat_interface_density,18,0.16394773362568227
isotropic_2x2x2,4.0,3,H_high_radial_index,4,0.4695020803640848
isotropic_2x2x2,4.0,3,signal_contrast,0,
isotropic_2x2x2,6.0,2,H_high_fraction,18,0.9427385011250674
isotropic_2x2x2,6.0,2,H_high_largest_component_fraction,18,0.5381315311592142
isotropic_2x2x2,6.0,2,H_high_component_density,18,-0.028840744847349897
isotropic_2x2x2,6.0,2,habitat_interface_density,18,0.2351170588265972
isotropic_2x2x2,6.0,2,H_high_radial_index,7,0.6244765532875304
isotropic_2x2x2,6.0,2,signal_contrast,7,0.8301234341476919
isotropic_2x2x2,6.0,3,H_high_fraction,18,0.905408466085069
isotropic_2x2x2,6.0,3,H_high_largest_component_fraction,18,0.6421727788407332
isotropic_2x2x2,6.0,3,H_high_component_density,18,0.10403890422852116
isotropic_2x2x2,6.0,3,habitat_interface_density,18,0.4481173186886301
isotropic_2x2x2,6.0,3,H_high_radial_index,5,0.1992730399628222
isotropic_2x2x2,6.0,3,signal_contrast,0,
isotropic_2x2x2,8.0,2,H_high_fraction,18,0.8573317028491718
isotropic_2x2x2,8.0,2,H_high_largest_component_fraction,18,0.38599596005349496
isotropic_2x2x2,8.0,2,H_high_component_density,18,0.09867699663121246
isotropic_2x2x2,8.0,2,habitat_interface_density,18,0.1442960992164012
isotropic_2x2x2,8.0,2,H_high_radial_index,8,0.3217883218861808
isotropic_2x2x2,8.0,2,signal_contrast,8,0.8198500734750978
isotropic_2x2x2,8.0,3,H_high_fraction,18,0.7861757212585266
isotropic_2x2x2,8.0,3,H_high_largest_component_fraction,18,0.3205502174873137
isotropic_2x2x2,8.0,3,H_high_component_density,18,0.11658679927292344
isotropic_2x2x2,8.0,3,habitat_interface_density,18,0.0474144530978384
isotropic_2x2x2,8.0,3,H_high_radial_index,7,0.160020593912247
isotropic_2x2x2,8.0,3,signal_contrast,1,
n4_1x1x2,4.0,2,H_high_fraction,18,0.8228876716114065
n4_1x1x2,4.0,2,H_high_largest_component_fraction,18,0.028264958402391124
n4_1x1x2,4.0,2,H_high_component_density,18,0.3258753541644079
n4_1x1x2,4.0,2,habitat_interface_density,18,0.354453190037368
n4_1x1x2,4.0,2,H_high_radial_index,9,-0.004512155540804082
n4_1x1x2,4.0,2,signal_contrast,9,0.6075996471465857
n4_1x1x2,4.0,3,H_high_fraction,18,0.8228666317512967
n4_1x1x2,4.0,3,H_high_largest_component_fraction,18,0.4349558753012918
n4_1x1x2,4.0,3,H_high_component_density,18,0.3593811990595307
n4_1x1x2,4.0,3,habitat_interface_density,18,0.3064951014960974
n4_1x1x2,4.0,3,H_high_radial_index,7,0.28139485021574323
n4_1x1x2,4.0,3,signal_contrast,1,
n4_1x1x2,6.0,2,H_high_fraction,18,0.8835030018508201
n4_1x1x2,6.0,2,H_high_largest_component_fraction,18,0.48371320419147146
n4_1x1x2,6.0,2,H_high_component_density,18,0.21908888192413395
n4_1x1x2,6.0,2,habitat_interface_density,18,0.006641346186842901
n4_1x1x2,6.0,2,H_high_radial_index,13,0.460378825154395
n4_1x1x2,6.0,2,signal_contrast,13,0.7242426700184568
n4_1x1x2,6.0,3,H_high_fraction,18,0.8384845365953237
n4_1x1x2,6.0,3,H_high_largest_component_fraction,18,0.2296497038638899
n4_1x1x2,6.0,3,H_high_component_density,18,0.41595125514732906
n4_1x1x2,6.0,3,habitat_interface_density,18,0.5450997326205795
n4_1x1x2,6.0,3,H_high_radial_index,8,-0.3370659010640394
n4_1x1x2,6.0,3,signal_contrast,2,0.40610226380415565
n4_1x1x2,8.0,2,H_high_fraction,18,0.8881723763447347
n4_1x1x2,8.0,2,H_high_largest_component_fraction,18,0.46827616275788325
n4_1x1x2,8.0,2,H_high_component_density,18,0.3102159203053546
n4_1x1x2,8.0,2,habitat_interface_density,18,0.2668928882146466
n4_1x1x2,8.0,2,H_high_radial_index,15,0.061017351799548675
n4_1x1x2,8.0,2,signal_contrast,15,0.7264484038227663
n4_1x1x2,8.0,3,H_high_fraction,18,0.8851802067867269
n4_1x1x2,8.0,3,H_high_largest_component_fraction,18,0.065365983111589
n4_1x1x2,8.0,3,H_high_component_density,18,0.5007827360130078
n4_1x1x2,8.0,3,habitat_interface_density,18,0.4944886576261038
n4_1x1x2,8.0,3,H_high_radial_index,9,0.735776934707811
n4_1x1x2,8.0,3,signal_contrast,6,0.5393788679041436
primary_1x1x2,4.0,2,H_high_fraction,18,0.8636747061941467
primary_1x1x2,4.0,2,H_high_largest_component_fraction,18,0.39659044542573846
primary_1x1x2,4.0,2,H_high_component_density,18,0.2688865759742555
primary_1x1x2,4.0,2,habitat_interface_density,18,0.7148851755435678
primary_1x1x2,4.0,2,H_high_radial_index,11,0.12141637661694939
primary_1x1x2,4.0,2,signal_contrast,10,0.9177290175166624
