影像号,变体,尺度mm,K,聚类中心,聚类中心间距,ROI_Dice,common_voxels,adjusted_rand_index,unassigned_R1,unassigned_R2,H-low_Dice,H-low_fraction_R1,H-low_fraction_R2,R1_H-low_components,R1_H-low_largest_component_ml,R1_H-low_largest_component_fraction,R1_H-low_voxels,R1_H-low_volume_ml,R1_H-low_effective_bins,R1_H-low_texture_eligible,R2_H-low_components,R2_H-low_largest_component_ml,R2_H-low_largest_component_fraction,R2_H-low_voxels,R2_H-low_volume_ml,R2_H-low_effective_bins,R2_H-low_texture_eligible,H-high_Dice,H-high_fraction_R1,H-high_fraction_R2,R1_H-high_components,R1_H-high_largest_component_ml,R1_H-high_largest_component_fraction,R1_H-high_voxels,R1_H-high_volume_ml,R1_H-high_effective_bins,R1_H-high_texture_eligible,R2_H-high_components,R2_H-high_largest_component_ml,R2_H-high_largest_component_fraction,R2_H-high_voxels,R2_H-high_volume_ml,R2_H-high_effective_bins,R2_H-high_texture_eligible,R1_H_high_fraction,R1_H_high_largest_component_fraction,R1_H_high_component_density,R1_habitat_interface_density,R1_H_high_radial_index,R1_signal_contrast,R2_H_high_fraction,R2_H_high_largest_component_fraction,R2_H_high_component_density,R2_habitat_interface_density,R2_H_high_radial_index,R2_signal_contrast,H-mid_Dice,H-mid_fraction_R1,H-mid_fraction_R2,R1_H-mid_components,R1_H-mid_largest_component_ml,R1_H-mid_largest_component_fraction,R1_H-mid_voxels,R1_H-mid_volume_ml,R1_H-mid_effective_bins,R1_H-mid_texture_eligible,R2_H-mid_components,R2_H-mid_largest_component_ml,R2_H-mid_largest_component_fraction,R2_H-mid_voxels,R2_H-mid_volume_ml,R2_H-mid_effective_bins,R2_H-mid_texture_eligible
IMG-9E2C4ABE0B,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.5847432074776374,8727,1.0,0,0,1.0,1.0,0.9988091268518078,1,17.711999999999996,1.0,8856,17.711999999999996,15,1,2,41.92799999999999,0.9998092331171309,20968,41.93599999999999,25,1,,0.0,0.0011908731481922545,0,0.0,0.0,0,0.0,0,0,3,0.04599999999999999,0.92,25,0.04999999999999999,10,0,0.0,0.0,0.0,0.0,,,0.0011908731481922545,0.92,0.0714523888915353,0.0012146906111560995,0.19224163852742587,1.3612501621246338,,,,,,,,,,,,,,,,,
IMG-D0FB6C7AE7,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.6410220412747438,4566,0.07154077801833585,0,0,0.9580852038479157,0.9959288622241268,0.9465497442321745,1,9.296,1.0,4648,9.296,13,1,1,18.134,1.0,9067,18.134,19,1,0.085,0.004071137775873152,0.05345025576782545,2,0.036,0.9473684210526315,19,0.038,8,0,1,1.024,1.0,512,1.024,14,1,0.004071137775873152,0.9473684210526315,0.2142704092564817,0.004178272980501393,0.2580194172137991,1.36244797706604,0.05345025576782545,1.0,0.05219751539826704,0.021975153982670425,0.2755006628648124,1.4172197580337524,,,,,,,,,,,,,,,,,
IMG-1815129EC4,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.8566391650800367,42518,0.0,0,0,0.978558816110317,1.0,0.9209087768497632,1,100.116,1.0,50058,100.116,20,1,1,90.634,1.0,45317,90.634,24,1,0.0,0.0,0.07909122315023674,0,0.0,0.0,0,0.0,0,0,1,7.784,1.0,3892,7.784,26,1,0.0,0.0,0.0,0.0,,,0.07909122315023674,1.0,0.010160742953524761,0.010140421467617712,0.22481822491466247,0.2212510108947754,,,,,,,,,,,,,,,,,
IMG-AD73EFA971,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7304497493077902,9761,0.0,0,0,0.9977410411746586,1.0,0.993872898261613,1,25.379999999999992,1.0,12690,25.379999999999992,20,1,1,27.89999999999999,1.0,13950,27.89999999999999,28,1,0.0,0.0,0.0061271017383870046,0,0.0,0.0,0,0.0,0,0,2,0.16999999999999998,0.9883720930232558,86,0.17199999999999996,17,0,0.0,0.0,0.0,0.0,,,0.0061271017383870046,0.9883720930232558,0.0712453690510117,0.003526645768025079,0.2882700095233799,0.49719953536987305,,,,,,,,,,,,,,,,,
IMG-D31CF4ABF7,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.708029197080292,4753,1.0,0,0,,0.02476780185758514,0.0025012506253126563,3,0.20599999999999996,0.5597826086956522,184,0.36799999999999994,12,0,3,0.015999999999999997,0.5333333333333333,15,0.029999999999999995,6,0,1.0,0.9752321981424149,0.9974987493746873,1,14.489999999999998,1.0,7245,14.489999999999998,23,1,4,11.955999999999998,0.9993313273152792,5982,11.963999999999999,27,1,0.9752321981424149,1.0,0.0673038093956118,0.01386458473549603,0.33676641966329685,1.4209709167480469,0.9974987493746873,0.9993313273152792,0.3335000833750209,0.00208437552109388,0.3266715081220831,1.767805814743042,,,,,,,,,,,,,,,,,
IMG-182FA24923,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7349436812292467,5644,1.0,0,0,1.0,1.0,1.0,1,11.433999999999997,1.0,5717,11.433999999999997,5,1,2,19.281999999999996,0.9998962870773699,9642,19.283999999999995,8,1,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IMG-B1DBEB52F4,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.6065254849647046,21824,1.0,0,0,1.0,0.020073908481226335,0.023179138775102408,1,0.8799999999999998,1.0,440,0.8799999999999998,16,1,2,2.3179999999999996,0.9991379310344828,1160,2.3199999999999994,21,1,1.0,0.9799260915187736,0.9768208612248976,4,42.89999999999999,0.9986498440337074,21479,42.95799999999999,29,1,1,97.76999999999998,1.0,48885,97.76999999999998,41,1,0.9799260915187736,0.9986498440337074,0.0912450385510288,0.00659245403531183,0.3019880361157395,1.4741451740264893,0.9768208612248976,1.0,0.009991008092716558,0.005824757718053753,0.2915773785019571,1.8941991329193115,,,,,,,,,,,,,,,,,
IMG-825C59B3C8,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.8786427040046584,16598,0.15545032807743264,0,0,0.6611266262516178,0.2811320754716981,0.5946971563747474,4,9.599999999999998,0.9762050030506406,4917,9.833999999999998,17,1,5,24.099999999999998,0.9985911991381453,12067,24.133999999999997,19,1,0.7312989467998919,0.7188679245283018,0.4053028436252526,1,25.145999999999994,1.0,12573,25.145999999999994,21,1,1,16.447999999999997,1.0,8224,16.447999999999997,22,1,0.7188679245283018,1.0,0.02858776443682105,0.03747855917667239,0.3594336373718026,0.7233402729034424,0.4053028436252526,1.0,0.024641466660095614,0.03664186092356217,0.3041326688621656,0.7453250885009766,,,,,,,,,,,,,,,,,
IMG-DA4569F340,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.649894802811227,7259,1.0,0,0,1.0,1.0,1.0,1,15.181999999999999,1.0,7591,15.181999999999999,10,1,2,29.491999999999997,0.9998643883916464,14748,29.495999999999995,12,1,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IMG-8BF8DD5DE4,primary_1x1x2,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.717425431711146,9597,0.8179049449004823,0,0,0.9868151852693794,0.9114337917107415,0.9033323142769795,1,18.956,1.0,9478,18.956,16,1,2,29.546,0.999932313523758,14774,29.548,20,1,0.8548185231539425,0.08856620828925858,0.09666768572302048,1,1.842,1.0,921,1.842,12,1,1,3.162,1.0,1581,3.162,16,1,0.08856620828925858,1.0,0.048081546302529095,0.019136455428406578,0.23497430139753336,0.7077047824859619,0.09666768572302048,1.0,0.03057169061449098,0.021002751452155303,0.3394188471593123,0.644798994064331,,,,,,,,,,,,,,,,,
