变体,尺度mm,K,n,ROI_Dice_median,ROI_Dice_q1,ROI_Dice_q3,ROI_Dice_n,adjusted_rand_index_median,adjusted_rand_index_q1,adjusted_rand_index_q3,adjusted_rand_index_n,H-low_Dice_median,H-low_Dice_q1,H-low_Dice_q3,H-low_Dice_n,H-high_Dice_median,H-high_Dice_q1,H-high_Dice_q3,H-high_Dice_n,H-mid_Dice_median,H-mid_Dice_q1,H-mid_Dice_q3,H-mid_Dice_n,texture_ineligible_case_rate,empty_or_unassigned_rate
isotropic_2x2x2,4.0,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,1.0,1.0,1.0,18,1.0,0.8812740764665629,1.0,16,0.6670599803343166,0.0,0.8559192022500639,7,,,,0,0.9444444444444444,0.0
isotropic_2x2x2,4.0,3,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.8314172957261523,0.0,1.0,18,0.32522407170294493,0.0,0.8593837535014006,9,0.7118384045001278,0.6670599803343166,0.9668612314065148,5,0.7097361237488626,0.0,0.9911709814805953,15,1.0,0.0
isotropic_2x2x2,6.0,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.6804223203384773,0.009975010544513283,1.0,18,0.9726755919063612,0.8490709551583533,1.0,18,0.7504302925989673,0.0,0.9293959374722327,11,,,,0,0.7222222222222222,0.0
isotropic_2x2x2,6.0,3,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.13266276280168685,0.0,0.4064694941615771,18,0.25882402992649045,0.0015923566878980893,0.6288647105667623,14,0.32712456344586727,0.0,0.8087423157570692,8,0.7415918964281747,0.3888577800030102,0.8919926904402865,16,1.0,0.0
isotropic_2x2x2,8.0,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.09476765389470188,0.0,0.8917732633859379,18,0.9695536318750401,0.5150358086305372,0.9995092693565976,18,0.5263827082008901,0.0,0.8283847980997625,13,,,,0,0.8333333333333334,0.0
isotropic_2x2x2,8.0,3,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.0452398017013927,-0.004785566480264222,0.4019937078662445,18,0.16561064613932208,0.0,0.38534695082458376,12,0.38193984113696544,0.0,0.9043944177957706,12,0.7890691716481639,0.18461538461538463,0.9383992805755396,17,0.9444444444444444,0.0
n4_1x1x2,4.0,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.0935879928779142,0.0,0.9851625954771004,18,0.9696741909598022,0.8393021182191037,0.9989588345454997,18,0.14371304018195602,0.0,0.8858564119937313,14,,,,0,0.7777777777777778,0.0
n4_1x1x2,4.0,3,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.10049587399523496,0.0,0.34862719598969344,18,0.25957921067214157,0.035538005923000986,0.8760138334987614,14,0.3880793026559719,0.008832335329341317,0.9159296845800241,10,0.6859430629948856,0.4122542070592973,0.9562723444732535,16,0.9444444444444444,0.0
n4_1x1x2,6.0,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.1928088568675613,0.0,0.8032199565786491,18,0.902232504149842,0.828245226941412,0.9844159014714546,18,0.5544625587178779,0.0,0.8924249574479133,16,,,,0,0.6666666666666666,0.0
n4_1x1x2,6.0,3,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.07948364147903947,0.0017000436341387294,0.2590412371241686,18,0.26521739130434785,0.0,0.7904198458745413,15,0.0,0.0,0.7723604735443343,13,0.6935184819914001,0.44533565823888405,0.929782624934638,17,0.9444444444444444,0.0
n4_1x1x2,8.0,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.13987933639873218,0.02742444280533797,0.4433725035575624,18,0.9301619028717075,0.6866833175888418,0.9597099299987221,18,0.170316301703163,0.07123424573871523,0.795110037555748,15,,,,0,0.5,0.0
n4_1x1x2,8.0,3,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.24236996488756823,0.09550836687125391,0.5906835999636183,18,0.5068493150684932,0.13618834535150565,0.8052617167512764,15,0.2523319631705575,0.0,0.7496017206511961,12,0.7878978318445033,0.6941964285714286,0.8807909604519774,17,1.0,0.0
primary_1x1x2,4.0,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.5760166854902471,0.01788519450458396,1.0,18,0.978558816110317,0.8208241829221031,1.0,17,0.8276968244813565,0.021727783086478738,0.9597660629948014,14,,,,0,0.6111111111111112,0.0
primary_1x1x2,4.0,3,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.5544876706949153,9.648761051633832e-05,0.94157663091824,18,0.49941384874084244,0.0,0.762572983014862,12,0.8450891971671586,0.0,0.9887981752391746,12,0.9711060948081264,0.5743750510570427,0.9946911123731395,15,1.0,0.0
primary_1x1x2,6.0,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.2203779600348032,-0.0003155900137311352,0.5532130086262426,18,0.9153663592463166,0.7496360878516803,0.9789492008753896,18,0.5964169605984913,0.0,0.9559407491982661,16,,,,0,0.6111111111111112,0.0
primary_1x1x2,6.0,3,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.14398740902386514,0.07434534009376292,0.5509540854699405,18,0.5265947554398364,0.01317027281279398,0.9516916714103414,15,0.09511467624232596,0.0,0.7678555844659567,14,0.8377107754027455,0.4707080998471727,0.9107237699773068,17,0.8333333333333334,0.0
primary_1x1x2,8.0,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.25740548029321675,0.03772886711419918,0.6126843394685517,18,0.9255783659610285,0.7485940089983424,0.9626067361390082,18,0.5515557709903488,0.14126212613817135,0.881309896834442,16,,,,0,0.3888888888888889,0.0
primary_1x1x2,8.0,3,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.3151954762217767,0.07873441504026586,0.7476792480258885,18,0.6967150540346116,0.24415533611353438,0.8776467743909764,16,0.5262258732870488,0.0,0.9477699933804704,14,0.8023854703171591,0.5487358880585149,0.9328944962515999,17,0.8333333333333334,0.0
roi_dilate1,4.0,2,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.3655478102113486,0.02043685921627224,0.779218351118909,18,0.9409793467719887,0.8027223833075032,0.9896016462272306,18,0.6304786979459964,0.09673931628570964,0.8801610322250673,16,,,,0,0.5555555555555556,0.0
roi_dilate1,4.0,3,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.28992435414560297,0.0,0.8078862681934424,18,0.193106651892211,0.013988095238095239,0.6138000576202823,10,0.0,0.0,0.8405211518966463,15,0.9339551298210235,0.7905441098784998,0.9818181818181818,17,1.0,0.0
roi_dilate1,6.0,2,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.28187449954576943,0.1535842657158979,0.5382484608149831,18,0.885284524322457,0.6256975999804146,0.9457873695121048,18,0.5032968455388386,0.24003825227057177,0.8803595007864446,16,,,,0,0.16666666666666666,0.0
roi_dilate1,6.0,3,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.25283401588923665,0.04099965219778534,0.5721142592665522,18,0.34633025888363267,0.013888888888888888,0.8136329123136934,18,0.3516608546604409,0.032613367719750694,0.7704775390150187,16,0.7352879727000488,0.6707451609668037,0.9324506051515465,17,0.8333333333333334,0.0
roi_dilate1,8.0,2,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.3012465211139037,0.15355763322445282,0.5503023030304266,18,0.9106053473989139,0.6818115600387421,0.9421547103700284,18,0.5213272327983361,0.26689583458016636,0.8996989256778636,16,,,,0,0.16666666666666666,0.0
roi_dilate1,8.0,3,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.490505753266257,0.07940873889535864,0.6773416304746611,18,0.5792766901389522,0.227319587628866,0.823299226743732,18,0.4299465240641711,0.05136999866317441,0.7735340937471451,16,0.8548476700517766,0.5982311271324978,0.9068100358422939,17,0.8333333333333334,0.0
roi_erode1,4.0,2,18,0.6368228042670789,0.5488923034018331,0.7190496096582077,18,0.264495726010034,0.0,1.0,18,0.9690652190490547,0.8687241897462524,0.999927599189111,16,0.48681814742298274,0.0,0.9966502555428157,14,,,,0,0.7222222222222222,0.0
roi_erode1,4.0,3,18,0.6368228042670789,0.5488923034018331,0.7190496096582077,18,0.26860847559672996,-0.0008533445692074474,0.9402234758436192,18,0.3035235422513252,0.02830188679245283,0.6766590234691126,12,0.9321074964639321,0.0,0.9777027027027027,13,0.9353781068217875,0.42819966961360734,0.9875474443789044,15,1.0,0.0
roi_erode1,6.0,2,18,0.6368228042670789,0.5488923034018331,0.7190496096582077,18,0.3815991188234238,0.01859637904132666,0.9922165985079614,18,0.9018929150892374,0.7927927927927928,0.9994630666564394,17,0.8435142370406425,0.23535536277373323,0.9946237231273622,15,,,,0,0.6666666666666666,0.0
