变体,尺度mm,K,descriptor,n,ICC_2_1,方法
patient_k2_1x1x2,4.0,2,H_high_fraction,18,0.45458213607098347,patient_k2
patient_k2_1x1x2,4.0,2,H_high_largest_component_fraction,18,0.2656210000895857,patient_k2
patient_k2_1x1x2,4.0,2,H_high_component_density,18,0.6528546756382716,patient_k2
patient_k2_1x1x2,4.0,2,habitat_interface_density,18,0.5306702506493445,patient_k2
patient_k2_1x1x2,4.0,2,H_high_radial_index,18,0.33532980620064445,patient_k2
patient_k2_1x1x2,4.0,2,signal_contrast,18,0.5860742552614823,patient_k2
patient_k2_1x1x2,6.0,2,H_high_fraction,18,0.5957977931275052,patient_k2
patient_k2_1x1x2,6.0,2,H_high_largest_component_fraction,18,0.021921499051088367,patient_k2
patient_k2_1x1x2,6.0,2,H_high_component_density,18,0.6361837163908789,patient_k2
patient_k2_1x1x2,6.0,2,habitat_interface_density,18,0.38940229318101693,patient_k2
patient_k2_1x1x2,6.0,2,H_high_radial_index,18,0.33483763206398626,patient_k2
patient_k2_1x1x2,6.0,2,signal_contrast,18,0.3731645368070055,patient_k2
patient_k2_1x1x2,8.0,2,H_high_fraction,18,0.623173605199413,patient_k2
patient_k2_1x1x2,8.0,2,H_high_largest_component_fraction,18,-0.023840015332617454,patient_k2
patient_k2_1x1x2,8.0,2,H_high_component_density,18,0.33872590958881593,patient_k2
patient_k2_1x1x2,8.0,2,habitat_interface_density,18,0.16368732512819217,patient_k2
patient_k2_1x1x2,8.0,2,H_high_radial_index,18,0.2612353739375483,patient_k2
patient_k2_1x1x2,8.0,2,signal_contrast,18,0.5244754005207997,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,H_high_fraction,18,0.4406432239326987,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,H_high_largest_component_fraction,18,-0.013112288368465501,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,H_high_component_density,18,0.21847609706779345,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,habitat_interface_density,18,0.7807895053876935,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,H_high_radial_index,18,0.250018916493759,patient_k2
patient_k2_isotropic_2x2x2,4.0,2,signal_contrast,18,0.6803644981426831,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,H_high_fraction,18,0.426742689404898,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,H_high_largest_component_fraction,18,0.13252844521426055,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,H_high_component_density,18,0.3395091626884693,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,habitat_interface_density,18,0.640065139117044,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,H_high_radial_index,18,0.013138189621639878,patient_k2
patient_k2_isotropic_2x2x2,6.0,2,signal_contrast,18,0.4955966909439739,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,H_high_fraction,18,0.19282598749945717,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,H_high_largest_component_fraction,18,0.33809804970379187,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,H_high_component_density,18,0.624542234164441,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,habitat_interface_density,18,0.046522408970885415,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,H_high_radial_index,18,-0.0019283803679638663,patient_k2
patient_k2_isotropic_2x2x2,8.0,2,signal_contrast,18,0.2938546368950475,patient_k2
