变体,尺度mm,方法,K,n,ROI_Dice_median,ROI_Dice_q1,ROI_Dice_q3,ROI_Dice_n,adjusted_rand_index_median,adjusted_rand_index_q1,adjusted_rand_index_q3,adjusted_rand_index_n,H-low_Dice_median,H-low_Dice_q1,H-low_Dice_q3,H-low_Dice_n,H-high_Dice_median,H-high_Dice_q1,H-high_Dice_q3,H-high_Dice_n,R1_both_habitats_texture_eligible_rate,R2_both_habitats_texture_eligible_rate,pair_both_habitats_texture_eligible_rate,texture_ineligible_case_rate,empty_or_failed_case_rate,unassigned_case_rate
patient_k2_1x1x2,4.0,patient_k2,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.39171237426974526,0.06818345946991572,0.8632577677212078,18,0.7728905468936221,0.6535573382096624,0.9767654110830954,18,0.8435472929578369,0.5329189844066946,0.9665916589813047,18,0.9444444444444444,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0
patient_k2_1x1x2,6.0,patient_k2,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.37019296686052117,0.014512668680121245,0.7639759923001673,18,0.7769952417403683,0.6736376662180151,0.9496587955043739,18,0.8678470611705927,0.23532412012516574,0.9226149967699896,18,0.9444444444444444,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.0,0.0
patient_k2_1x1x2,8.0,patient_k2,2,18,0.712727314395719,0.6439603816419848,0.7724953657781203,18,0.4216300376526564,0.15483019566484651,0.5060962400813056,18,0.7999275595241202,0.7538889609677625,0.8449267891327457,18,0.8273573719133879,0.6216728702947395,0.9111458415516406,18,1.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.0,0.0
patient_k2_isotropic_2x2x2,4.0,patient_k2,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.5869505530485566,0.2383288506845647,1.0,18,0.8853964844918294,0.596171315364148,1.0,18,0.8299070466175297,0.6445534492473638,1.0,18,1.0,1.0,1.0,0.0,0.0,0.0
patient_k2_isotropic_2x2x2,6.0,patient_k2,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.430587133080375,0.10672754282406337,0.806094815798514,18,0.8393959716540362,0.7235419452700326,0.9443780241070291,18,0.8175148979050427,0.43786232755942717,0.9820467260293434,18,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.2222222222222222,0.0,0.0
patient_k2_isotropic_2x2x2,8.0,patient_k2,2,18,0.7028815187698386,0.6306817745711325,0.7370231190807416,18,0.19844385071720566,0.0029116226133197058,0.6674741960569837,18,0.7070927675759195,0.3476055060533231,0.881873067981173,18,0.8201221948452605,0.056837874265909305,0.8920938902476669,18,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.0,0.0
patient_k2_n4_1x1x2,4.0,patient_k2,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.2597311427648372,0.05609346395199336,0.6717162974995776,18,0.7782944450121716,0.49484441471686247,0.9654070205067905,18,0.7296120321872017,0.5288658458738601,0.8609164861908125,18,0.8888888888888888,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.0,0.0
patient_k2_n4_1x1x2,6.0,patient_k2,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.5312264801572413,0.017399633288868004,0.8729103775824172,18,0.8408789912155854,0.7417097103760945,0.950636956103748,18,0.9158297158968692,0.11968066773106656,0.9715310344827586,18,0.9444444444444444,0.8333333333333334,0.7777777777777778,0.2222222222222222,0.0,0.0
patient_k2_n4_1x1x2,8.0,patient_k2,2,18,0.6973415526205473,0.6327683308315065,0.7368260925464201,18,0.4790908579456572,0.11092542359446217,0.5811002234878455,18,0.826389593693968,0.7170358154504586,0.9129069302093347,18,0.818505644015848,0.31468655811753343,0.9246589139322455,18,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.0
patient_k2_roi_dilate1,4.0,patient_k2,2,18,0.7568329476539875,0.6933708213889462,0.8084131535310866,18,0.2711328462130219,-8.122419313120177e-05,0.6614536977953892,18,0.8336174136337403,0.5214255579290336,0.9878118571768646,18,0.45926821984672483,0.13330148040286371,0.8907030850473878,18,1.0,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.0,0.0
