filter,split,n,frac_below_mean,frac_above_mean,n_any_below,n_any_above,roi_min,roi_max
log-sigma-1-0-mm-3D,A,530,0.0,1.3074879399641726e-07,0,2,-4.898561000823975,3.112512588500977
log-sigma-1-0-mm-3D,B,163,0.0,2.963990479662573e-06,0,1,-3.55362868309021,3.685760021209717
log-sigma-2-0-mm-3D,A,530,4.926290865553246e-08,8.546221333928809e-08,1,2,-4.37348747253418,2.5449180603027344
log-sigma-2-0-mm-3D,B,163,0.0,1.4227154302380116e-05,0,1,-3.35904312133789,2.9751691818237305
log-sigma-3-0-mm-3D,A,530,4.926290865553246e-08,9.605228932947433e-08,1,1,-3.801674127578736,2.6456992626190186
log-sigma-3-0-mm-3D,B,163,0.0,0.0,0,0,-3.2694880962371826,2.371377944946289
wavelet-HHH,A,530,7.626801679360715e-08,3.1555377162481884e-07,1,1,-2.6713573932647705,2.430630922317505
wavelet-HHH,B,163,0.0,0.0,0,0,-2.003711938858032,1.7914217710494995
wavelet-HHL,A,530,4.1527321196527736e-07,4.926290865553246e-08,2,1,-5.470777988433838,6.101720809936523
wavelet-HHL,B,163,0.0,0.0,0,0,-4.699315547943115,5.1776885986328125
wavelet-HLH,A,530,4.926290865553246e-08,4.373250304186766e-07,1,2,-3.8212153911590576,4.812837600708008
wavelet-HLH,B,163,0.0,0.0,0,0,-3.4433162212371826,2.990017890930176
wavelet-HLL,A,530,4.926290865553246e-08,4.926290865553246e-08,1,1,-11.144877433776855,9.552911758422852
wavelet-HLL,B,163,0.0,0.0,0,0,-7.184911727905273,7.654533863067627
wavelet-LHH,A,530,5.309478906501812e-07,7.626801679360715e-08,1,1,-3.641505241394043,5.020097732543945
wavelet-LHH,B,163,0.0,0.0,0,0,-3.1723792552948,2.8062937259674072
wavelet-LHL,A,530,2.5472359433315215e-07,1.438343948311672e-07,1,1,-11.127853393554688,8.840093612670898
wavelet-LHL,B,163,0.0,0.0,0,0,-7.102292060852051,5.6766357421875
wavelet-LLH,A,530,1.1806531562164695e-07,1.0044991920612097e-08,1,1,-8.865443229675293,9.936853408813477
wavelet-LLH,B,163,0.0,0.0,0,0,-7.583542823791504,7.048719882965088
wavelet-LLL,A,530,1.0044991920612097e-08,4.926290865553246e-08,1,1,0.365040510892868,33.12116622924805
wavelet-LLL,B,163,5.964256212514621e-07,0.0,1,0,-0.1842366456985473,28.347919464111328
