影像号,读者,filter,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-FE253BFCC1,R1,wavelet-LLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},92c53156f2fb89f7ce4664bcb22af749ea363789,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",155.10184640522877,48.0,293.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-LHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},60a583c4345601b41118fcbee3abfb23ae9be24e,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",216.47187908496733,47.0,305.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-LHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},2ed044fa7c58577ebe2de85179ce38b568ea6a5b,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",168.05937091503267,28.0,375.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-HLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},76990f792b6d91b9600f6e5783a6ea9e74d7adc1,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",218.33700980392157,102.0,299.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-HLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},b5aba932817a239b43cdc2d16495b2fce3ebeb3e,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",178.84506535947713,40.0,311.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-HHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},6119e0223028a2df9f6377b2b508f1fb2b2be96b,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",136.7865114379085,28.0,263.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-HHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},0e99b806b8e1b80d97f236bb9cd67de26e721861,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",154.67782679738562,38.0,260.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,wavelet-LLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},cc40f502cb524e5a344296342450e9913c6f584e,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",26.303063725490198,1.0,68.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,log-sigma-1-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},52b6c3ee6fbf23246da4a1cc588c3c417acbca45,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",165.83950163398694,56.0,230.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
IMG-FE253BFCC1,R1,log-sigma-2-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},29bd3239b8e6a1b806ab17c549162dd33b364532,3D,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)",115.95156045751634,50.0,154.0,8b64ddfee021e491cb172b3cb2e9ff345ffa4838,"(1.0, 0.9999999999999999, 2.0)","(60, 60, 34)","(5, 5, 1, 50, 50, 32)",27308,1,"(30.464296176944487, 28.459022996923977, 15.952944192178116)","(-0.447724302111979, 25.237376680484164, -29.627229421946076)"
