filter,binWidth,n_bins,grid_min,grid_max
log-sigma-1-0-mm-3D,0.074066,109,-4.898561,3.100621
log-sigma-2-0-mm-3D,0.094363,73,-4.373487,2.420649
log-sigma-3-0-mm-3D,0.104028,62,-3.801674,2.544049
wavelet-HHH,0.043316,118,-2.671357,2.396615
wavelet-HHL,0.097642,118,-5.322931,6.101212
wavelet-HLH,0.053565,137,-3.821215,3.463625
wavelet-HLL,0.127904,162,-11.144877,9.447707
wavelet-LHH,0.054332,160,-3.641505,4.997243
wavelet-LHL,0.128811,156,-11.127853,8.837929
wavelet-LLH,0.143361,132,-8.865443,9.914782
wavelet-LLL,0.669787,49,0.365041,32.514841
