影像号,读者,filter,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-5B9E750116,R1,wavelet-LLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},df376e3dc22ca880c33d6e9773812681136a67ec,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",181.33347322477758,93.0,337.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-LHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},6e0481b4dac674d5f5196d92274efb14fde820f8,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",196.09942084942085,82.0,315.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-LHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},0cfef60eda4a96b2cfc8264ca1f2261ce6b8479d,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",194.04006490963013,90.0,289.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-HLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},fdc974cbca97c7d384f8525e2e795825a311fb38,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",246.24294947121035,153.0,345.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-HLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},3707478df5a6b8cb2fe8841f583f725501e3121f,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",159.53059425885513,85.0,236.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-HHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},75de2d6ab61d63b50d698435752f93f9011f52b5,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",159.12332829724133,87.0,240.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-HHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},cb83a4c963aadd1d65430f8501d0ef10dabc93ca,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",156.02323596888814,84.0,233.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,wavelet-LLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},b3dc85c2ae16d49843c709256e501a95f94fefab,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",62.364193385932516,13.0,137.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,log-sigma-1-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},98cff52694bb917a4efdfbf6dbe21fc30510de51,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",128.1243634939287,57.0,195.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-5B9E750116,R1,log-sigma-2-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},b84c9655cad1c56f3d88e9cb3d60feacb928f593,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",79.6780818085166,26.0,128.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
