影像号,读者,split,filter,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-5B9E750116,R1,A,wavelet-LLH,7901,0,0,0.0,0.0,-4.89760160446167,3.393092393875122
IMG-5B9E750116,R1,A,wavelet-LHL,7901,0,0,0.0,0.0,-4.63979434967041,6.10648250579834
IMG-5B9E750116,R1,A,wavelet-LHH,7901,0,0,0.0,0.0,-1.96300208568573,1.7551729679107666
IMG-5B9E750116,R1,A,wavelet-HLL,7901,0,0,0.0,0.0,-3.6162033081054688,5.3484625816345215
IMG-5B9E750116,R1,A,wavelet-HLH,7901,0,0,0.0,0.0,-1.8469867706298828,2.0850908756256104
IMG-5B9E750116,R1,A,wavelet-HHL,7901,0,0,0.0,0.0,-3.13915753364563,3.104252576828003
IMG-5B9E750116,R1,A,wavelet-HHH,7901,0,0,0.0,0.0,-1.5834294557571411,1.2145214080810547
IMG-5B9E750116,R1,A,wavelet-LLL,7901,0,0,0.0,0.0,-5.811657905578613,11.291805267333984
IMG-5B9E750116,R1,A,log-sigma-1-0-mm-3D,7901,0,0,0.0,0.0,-2.408721446990967,1.9064215421676636
IMG-5B9E750116,R1,A,log-sigma-2-0-mm-3D,7901,0,0,0.0,0.0,-1.6489415168762207,2.1052074432373047
IMG-5B9E750116,R1,A,log-sigma-3-0-mm-3D,7901,0,0,0.0,0.0,-1.228657841682434,2.2272613048553467
IMG-81E9925726,R1,A,wavelet-LLH,7865,0,0,0.0,0.0,-3.438572883605957,2.593930959701538
IMG-81E9925726,R1,A,wavelet-LHL,7865,0,0,0.0,0.0,-3.5615885257720947,3.1369540691375732
IMG-81E9925726,R1,A,wavelet-LHH,7865,0,0,0.0,0.0,-1.5849711894989014,1.3256105184555054
IMG-81E9925726,R1,A,wavelet-HLL,7865,0,0,0.0,0.0,-2.7603800296783447,4.139917373657227
IMG-81E9925726,R1,A,wavelet-HLH,7865,0,0,0.0,0.0,-1.4254605770111084,1.1399725675582886
IMG-81E9925726,R1,A,wavelet-HHL,7865,0,0,0.0,0.0,-2.1553564071655273,2.186856269836426
IMG-81E9925726,R1,A,wavelet-HHH,7865,0,0,0.0,0.0,-0.7078660726547241,0.8243957757949829
IMG-81E9925726,R1,A,wavelet-LLL,7865,0,0,0.0,0.0,-5.8599982261657715,8.740955352783203
IMG-81E9925726,R1,A,log-sigma-1-0-mm-3D,7865,0,0,0.0,0.0,-1.7389285564422607,1.4316034317016602
IMG-81E9925726,R1,A,log-sigma-2-0-mm-3D,7865,0,0,0.0,0.0,-1.4789483547210693,1.548447608947754
IMG-81E9925726,R1,A,log-sigma-3-0-mm-3D,7865,0,0,0.0,0.0,-1.4528228044509888,1.4807069301605225
IMG-FE253BFCC1,R1,A,wavelet-LLH,27308,0,0,0.0,0.0,-4.555698871612549,7.7914018630981445
IMG-FE253BFCC1,R1,A,wavelet-LHL,27308,0,0,0.0,0.0,-6.5653910636901855,5.948237419128418
IMG-FE253BFCC1,R1,A,wavelet-LHH,27308,0,0,0.0,0.0,-3.0672645568847656,2.5604665279388428
IMG-FE253BFCC1,R1,A,wavelet-HLL,27308,0,0,0.0,0.0,-6.273726463317871,4.768250465393066
IMG-FE253BFCC1,R1,A,wavelet-HLH,27308,0,0,0.0,0.0,-2.666506290435791,2.9770102500915527
IMG-FE253BFCC1,R1,A,wavelet-HHL,27308,0,0,0.0,0.0,-3.2629895210266113,5.0870184898376465
IMG-FE253BFCC1,R1,A,wavelet-HHH,27308,0,0,0.0,0.0,-1.9616502523422241,2.2610414028167725
IMG-FE253BFCC1,R1,A,wavelet-LLL,27308,0,0,0.0,0.0,-6.966898441314697,12.79927921295166
IMG-FE253BFCC1,R1,A,log-sigma-1-0-mm-3D,27308,0,0,0.0,0.0,-2.867502212524414,1.8627092838287354
