filter,split,n,frac_below_mean,frac_above_mean,n_any_below,n_any_above,roi_min,roi_max
log-sigma-1-0-mm-3D,A,530,0.0,8.148588534088478e-08,0,1,-6.006034851074219,5.664585590362549
log-sigma-1-0-mm-3D,B,163,0.0,0.0,0,0,-5.228793144226074,4.5582804679870605
log-sigma-2-0-mm-3D,A,530,1.2585759364308398e-07,7.740532400009426e-07,1,2,-4.933035373687744,4.186371803283691
log-sigma-2-0-mm-3D,B,163,0.0,0.0,0,0,-4.859762191772461,3.976640224456787
log-sigma-3-0-mm-3D,A,530,0.0,1.1012730716708333e-06,0,1,-4.889951705932617,4.734044551849365
log-sigma-3-0-mm-3D,B,163,0.0,0.0,0,0,-4.337276935577393,4.2251482009887695
wavelet-HHH,A,530,2.073473964630435e-07,1.4871073739111398e-07,1,1,-5.045277118682861,5.829957485198975
wavelet-HHH,B,163,0.0,0.0,0,0,-2.7563929557800293,2.794684886932373
wavelet-HHL,A,530,0.0,1.0628302745078032e-07,0,1,-10.98322296142578,10.871047019958496
wavelet-HHL,B,163,0.0,0.0,0,0,-6.595887184143066,5.822282314300537
wavelet-HLH,A,530,1.7375735688649057e-08,6.06409451740917e-07,1,2,-6.127175331115723,6.451936721801758
wavelet-HLH,B,163,0.0,0.0,0,0,-3.774099111557007,4.728015422821045
wavelet-HLL,A,530,0.0,1.7706912353616956e-07,0,1,-21.217832565307617,11.385793685913086
wavelet-HLL,B,163,0.0,0.0,0,0,-17.030981063842773,8.064109802246094
wavelet-LHH,A,530,0.0,2.5440165747753624e-07,0,1,-7.502255916595459,9.31417179107666
wavelet-LHH,B,163,0.0,0.0,0,0,-4.594937324523926,6.143330097198486
wavelet-LHL,A,530,0.0,8.031540179546687e-08,0,1,-16.78415870666504,12.007157325744627
wavelet-LHL,B,163,0.0,2.427543883924561e-06,0,1,-12.643556594848633,12.262401580810549
wavelet-LLH,A,530,1.591281306072775e-08,1.251360228568454e-07,1,1,-18.430126190185547,21.258325576782227
wavelet-LLH,B,163,0.0,0.0,0,0,-12.940386772155762,19.477916717529297
wavelet-LLL,A,530,2.6092383737554347e-07,5.094471886664856e-07,1,1,-10.98381805419922,24.160903930664062
wavelet-LLL,B,163,6.598552322422854e-05,0.0,25,0,-16.99809455871582,23.574222564697266
