filter,binWidth,n_bins,grid_min,grid_max
log-sigma-1-0-mm-3D,0.117683,100,-6.006035,5.644632
log-sigma-2-0-mm-3D,0.154864,59,-4.933035,4.049077
log-sigma-3-0-mm-3D,0.178044,55,-4.889952,4.724451
wavelet-HHH,0.081101,135,-5.045277,5.822224
wavelet-HHL,0.173102,127,-10.983223,10.827692
wavelet-HLH,0.09632,131,-6.127175,6.394457
wavelet-HLL,0.215854,152,-21.217833,11.376083
wavelet-LHH,0.096908,174,-7.502256,9.262828
wavelet-LHL,0.214522,135,-16.784159,11.961722
wavelet-LLH,0.254919,156,-18.430126,21.082358
wavelet-LLL,0.622596,57,-10.983818,23.881572
