repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
1,1,1,106,2,0
1,1,2,106,2,0
1,1,3,106,2,0
1,1,4,106,2,0
1,1,5,106,2,0
1,1,6,106,2,0
1,1,7,106,2,0
1,1,8,106,2,0
1,1,9,106,2,0
1,1,10,106,2,0
1,1,11,106,2,0
1,1,12,106,2,0
1,1,13,106,2,0
1,1,14,106,2,0
1,1,15,106,2,0
1,1,16,106,2,0
1,1,17,106,2,0
1,1,18,106,2,0
1,1,19,106,2,0
1,1,20,106,2,0
1,2,1,103,0,0
1,2,2,103,0,0
1,2,3,103,0,0
1,2,4,103,0,0
1,2,5,103,0,0
1,2,6,103,0,0
1,2,7,103,0,0
1,2,8,103,0,0
1,2,9,103,0,0
1,2,10,103,0,0
1,2,11,103,0,0
1,2,12,103,0,0
1,2,13,103,0,0
1,2,14,103,0,0
1,2,15,103,0,0
1,2,16,103,0,0
1,2,17,103,0,0
1,2,18,103,0,0
1,2,19,103,0,0
1,2,20,103,0,0
1,3,1,103,0,0
1,3,2,103,0,0
1,3,3,103,0,0
1,3,4,103,0,0
1,3,5,103,0,0
1,3,6,103,0,0
1,3,7,103,0,0
1,3,8,103,0,0
1,3,9,103,0,0
1,3,10,103,0,0
1,3,11,103,0,0
1,3,12,103,0,0
1,3,13,103,0,0
1,3,14,103,0,0
1,3,15,103,0,0
1,3,16,103,0,0
1,3,17,103,0,0
1,3,18,103,0,0
1,3,19,103,0,0
1,3,20,103,0,0
1,4,1,103,0,0
1,4,2,103,0,0
1,4,3,103,0,0
1,4,4,103,0,0
1,4,5,103,0,0
1,4,6,103,0,0
1,4,7,103,0,0
1,4,8,103,0,0
1,4,9,103,0,0
1,4,10,103,0,0
1,4,11,103,0,0
1,4,12,103,0,0
1,4,13,103,0,0
1,4,14,103,0,0
1,4,15,103,0,0
1,4,16,103,0,0
1,4,17,103,0,0
1,4,18,103,0,0
1,4,19,103,0,0
1,4,20,103,0,0
1,5,1,107,0,0
1,5,2,107,0,0
1,5,3,107,0,0
1,5,4,107,0,0
1,5,5,107,0,0
1,5,6,107,0,0
1,5,7,107,0,0
1,5,8,107,0,0
1,5,9,107,0,0
1,5,10,107,0,0
1,5,11,107,0,0
1,5,12,107,0,0
1,5,13,107,0,0
1,5,14,107,0,0
1,5,15,107,0,0
1,5,16,107,0,0
1,5,17,107,0,0
1,5,18,107,0,0
1,5,19,107,0,0
1,5,20,107,0,0
2,1,1,104,7,0
2,1,2,104,7,0
2,1,3,104,7,0
2,1,4,104,7,0
2,1,5,104,7,0
2,1,6,104,7,0
2,1,7,104,7,0
2,1,8,104,7,0
2,1,9,104,7,0
2,1,10,104,7,0
2,1,11,104,7,0
2,1,12,104,7,0
2,1,13,104,7,0
2,1,14,104,7,0
2,1,15,104,7,0
2,1,16,104,7,0
2,1,17,104,7,0
2,1,18,104,7,0
2,1,19,104,7,0
2,1,20,104,7,0
2,2,1,105,0,0
2,2,2,105,0,0
2,2,3,105,0,0
2,2,4,105,0,0
2,2,5,105,0,0
2,2,6,105,0,0
2,2,7,105,0,0
2,2,8,105,0,0
2,2,9,105,0,0
2,2,10,105,0,0
2,2,11,105,0,0
2,2,12,105,0,0
2,2,13,105,0,0
2,2,14,105,0,0
2,2,15,105,0,0
2,2,16,105,0,0
2,2,17,105,0,0
2,2,18,105,0,0
2,2,19,105,0,0
2,2,20,105,0,0
2,3,1,104,2,0
2,3,2,104,2,0
2,3,3,104,2,0
2,3,4,104,2,0
2,3,5,104,2,0
2,3,6,104,2,0
2,3,7,104,2,0
2,3,8,104,2,0
2,3,9,104,2,0
2,3,10,104,2,0
2,3,11,104,2,0
2,3,12,104,2,0
2,3,13,104,2,0
2,3,14,104,2,0
2,3,15,104,2,0
2,3,16,104,2,0
2,3,17,104,2,0
2,3,18,104,2,0
2,3,19,104,2,0
2,3,20,104,2,0
2,4,1,106,0,0
2,4,2,106,0,0
2,4,3,106,0,0
2,4,4,106,0,0
2,4,5,106,0,0
2,4,6,106,0,0
2,4,7,106,0,0
2,4,8,106,0,0
2,4,9,106,0,0
2,4,10,106,0,0
2,4,11,106,0,0
2,4,12,106,0,0
2,4,13,106,0,0
2,4,14,106,0,0
2,4,15,106,0,0
2,4,16,106,0,0
2,4,17,106,0,0
2,4,18,106,0,0
2,4,19,106,0,0
2,4,20,106,0,0
2,5,1,104,0,0
2,5,2,104,0,0
2,5,3,104,0,0
2,5,4,104,0,0
2,5,5,104,0,0
2,5,6,104,0,0
2,5,7,104,0,0
2,5,8,104,0,0
2,5,9,104,0,0
2,5,10,104,0,0
2,5,11,104,0,0
2,5,12,104,0,0
2,5,13,104,0,0
