repeat_id,fold,imputation,model,message
1,4,7,model3,from glmnet C++ code (error code -30074); Numerical error at 74th lambda value; solutions for larger values of lambda returned
1,4,10,model3,from glmnet C++ code (error code -30086); Numerical error at 86th lambda value; solutions for larger values of lambda returned
1,4,12,model3,from glmnet C++ code (error code -30073); Numerical error at 73th lambda value; solutions for larger values of lambda returned
1,4,16,model3,from glmnet C++ code (error code -30069); Numerical error at 69th lambda value; solutions for larger values of lambda returned
1,4,17,model3,from glmnet C++ code (error code -30072); Numerical error at 72th lambda value; solutions for larger values of lambda returned
1,4,20,model3,from glmnet C++ code (error code -30072); Numerical error at 72th lambda value; solutions for larger values of lambda returned
1,5,0,model2,from glmnet C++ code (error code -30055); Numerical error at 55th lambda value; solutions for larger values of lambda returned
1,5,1,model3,from glmnet C++ code (error code -30047); Numerical error at 47th lambda value; solutions for larger values of lambda returned
1,5,2,model3,from glmnet C++ code (error code -30045); Numerical error at 45th lambda value; solutions for larger values of lambda returned
1,5,3,model3,from glmnet C++ code (error code -30048); Numerical error at 48th lambda value; solutions for larger values of lambda returned
1,5,4,model3,from glmnet C++ code (error code -30048); Numerical error at 48th lambda value; solutions for larger values of lambda returned
1,5,5,model3,from glmnet C++ code (error code -30045); Numerical error at 45th lambda value; solutions for larger values of lambda returned
1,5,6,model3,from glmnet C++ code (error code -30048); Numerical error at 48th lambda value; solutions for larger values of lambda returned
1,5,7,model3,from glmnet C++ code (error code -30051); Numerical error at 51th lambda value; solutions for larger values of lambda returned
1,5,8,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,9,model3,from glmnet C++ code (error code -30049); Numerical error at 49th lambda value; solutions for larger values of lambda returned
1,5,10,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,11,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,12,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,13,model3,from glmnet C++ code (error code -30048); Numerical error at 48th lambda value; solutions for larger values of lambda returned
1,5,14,model3,from glmnet C++ code (error code -30049); Numerical error at 49th lambda value; solutions for larger values of lambda returned
1,5,15,model3,from glmnet C++ code (error code -30045); Numerical error at 45th lambda value; solutions for larger values of lambda returned
1,5,16,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,17,model3,from glmnet C++ code (error code -30044); Numerical error at 44th lambda value; solutions for larger values of lambda returned
1,5,18,model3,from glmnet C++ code (error code -30044); Numerical error at 44th lambda value; solutions for larger values of lambda returned
1,5,19,model3,from glmnet C++ code (error code -30046); Numerical error at 46th lambda value; solutions for larger values of lambda returned
1,5,20,model3,from glmnet C++ code (error code -30048); Numerical error at 48th lambda value; solutions for larger values of lambda returned
