repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
1,1,1,106,2,0
1,1,2,106,2,0
1,1,3,106,2,0
1,1,4,106,2,0
1,1,5,106,2,0
1,1,6,106,2,0
1,1,7,106,2,0
1,1,8,106,2,0
1,1,9,106,2,0
1,1,10,106,2,0
1,1,11,106,2,0
1,1,12,106,2,0
1,1,13,106,2,0
1,1,14,106,2,0
1,1,15,106,2,0
1,1,16,106,2,0
1,1,17,106,2,0
1,1,18,106,2,0
1,1,19,106,2,0
1,1,20,106,2,0
1,2,1,103,0,0
1,2,2,103,0,0
1,2,3,103,0,0
1,2,4,103,0,0
1,2,5,103,0,0
1,2,6,103,0,0
1,2,7,103,0,0
1,2,8,103,0,0
1,2,9,103,0,0
1,2,10,103,0,0
1,2,11,103,0,0
1,2,12,103,0,0
1,2,13,103,0,0
1,2,14,103,0,0
1,2,15,103,0,0
1,2,16,103,0,0
1,2,17,103,0,0
1,2,18,103,0,0
1,2,19,103,0,0
1,2,20,103,0,0
1,3,1,103,0,0
1,3,2,103,0,0
1,3,3,103,0,0
1,3,4,103,0,0
1,3,5,103,0,0
1,3,6,103,0,0
1,3,7,103,0,0
1,3,8,103,0,0
1,3,9,103,0,0
1,3,10,103,0,0
1,3,11,103,0,0
1,3,12,103,0,0
1,3,13,103,0,0
1,3,14,103,0,0
1,3,15,103,0,0
1,3,16,103,0,0
1,3,17,103,0,0
1,3,18,103,0,0
1,3,19,103,0,0
1,3,20,103,0,0
1,4,1,103,0,0
1,4,2,103,0,0
1,4,3,103,0,0
1,4,4,103,0,0
1,4,5,103,0,0
1,4,6,103,0,0
1,4,7,103,0,0
1,4,8,103,0,0
1,4,9,103,0,0
1,4,10,103,0,0
1,4,11,103,0,0
1,4,12,103,0,0
1,4,13,103,0,0
1,4,14,103,0,0
1,4,15,103,0,0
1,4,16,103,0,0
1,4,17,103,0,0
1,4,18,103,0,0
1,4,19,103,0,0
1,4,20,103,0,0
1,5,1,107,0,0
1,5,2,107,0,0
1,5,3,107,0,0
1,5,4,107,0,0
1,5,5,107,0,0
1,5,6,107,0,0
1,5,7,107,0,0
1,5,8,107,0,0
1,5,9,107,0,0
1,5,10,107,0,0
1,5,11,107,0,0
1,5,12,107,0,0
1,5,13,107,0,0
1,5,14,107,0,0
1,5,15,107,0,0
1,5,16,107,0,0
1,5,17,107,0,0
1,5,18,107,0,0
1,5,19,107,0,0
1,5,20,107,0,0
