variable,type,mean_A,std_A
original_shape_LeastAxisLength,radiomics,25.38934824314812,8.94216306984735
original_shape_MajorAxisLength,radiomics,46.22899832040567,12.815792887522871
original_firstorder_10Percentile,radiomics,8.159056603773585,1.8758049986665533
original_firstorder_90Percentile,radiomics,13.649056603773586,3.836449943190623
original_firstorder_Entropy,radiomics,3.0473163094627544,0.5412295092626558
original_firstorder_InterquartileRange,radiomics,2.870754716981132,1.4661409351501762
original_glcm_Correlation,radiomics,0.5093595891818717,0.1230853466206712
original_glcm_Imc1,radiomics,-0.0909643845380287,0.0329710398148917
original_glcm_Imc2,radiomics,0.6180006368692629,0.1212539686511799
original_glcm_JointEnergy,radiomics,0.0349384753815264,0.0298098981476822
original_glcm_MCC,radiomics,0.5380278443542619,0.1188571704809555
original_glcm_MaximumProbability,radiomics,0.0718249855552237,0.053804227601796
original_glrlm_GrayLevelNonUniformity,radiomics,1262.4800282904555,1432.6668450308816
original_glrlm_LongRunLowGrayLevelEmphasis,radiomics,0.0654588166681767,0.0776145186680736
original_glrlm_LowGrayLevelRunEmphasis,radiomics,0.0311486312605866,0.0229822911446295
original_glrlm_RunVariance,radiomics,0.3543176136796254,0.2056550927880504
original_glszm_LargeAreaEmphasis,radiomics,18876.34866658812,54849.56574749374
original_glszm_LargeAreaHighGrayLevelEmphasis,radiomics,797754.9847457024,1686876.4310392817
original_glszm_LargeAreaLowGrayLevelEmphasis,radiomics,820.6396163155889,5134.70589043807
original_glszm_ZonePercentage,radiomics,0.1076316342226618,0.0450680558404856
original_glszm_ZoneVariance,radiomics,18733.14073247261,54764.70223594382
original_gldm_GrayLevelNonUniformity,radiomics,1707.9607514067236,2223.237535774904
original_gldm_LowGrayLevelEmphasis,radiomics,0.0306444332036042,0.0223058624731056
original_ngtdm_Contrast,radiomics,0.033013078895148,0.0196626814697087
wavelet-LLH_shape_LeastAxisLength,radiomics,25.38934824314812,8.94216306984735
wavelet-LLH_shape_MajorAxisLength,radiomics,46.22899832040567,12.815792887522871
wavelet-LLH_firstorder_Kurtosis,radiomics,8.73546686862609,8.073846009433675
wavelet-LLH_firstorder_Skewness,radiomics,0.0049022154813023,1.1041084869264723
wavelet-LLH_glcm_ClusterShade,radiomics,122.42062804365106,827.656232959967
wavelet-LLH_glcm_Idmn,radiomics,0.9906956224618754,0.0054861970902082
wavelet-LLH_glcm_Idn,radiomics,0.9419613534204356,0.0160445834503062
wavelet-LLH_glcm_Imc1,radiomics,-0.0781780528508746,0.027116341594737
wavelet-LLH_glcm_Imc2,radiomics,0.5464800701734106,0.0936831764869377
wavelet-LLH_glcm_InverseVariance,radiomics,0.3650219573386435,0.0591085555878228
wavelet-LLH_glcm_MCC,radiomics,0.4595702939490709,0.1281904401393301
wavelet-LLH_glrlm_GrayLevelNonUniformity,radiomics,1090.3848890784643,1317.9841946045287
wavelet-LLH_glszm_LargeAreaEmphasis,radiomics,7847.698554978797,24003.0671073986
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,radiomics,4281865.615555558,26626936.433457103
wavelet-LLH_glszm_ZoneEntropy,radiomics,6.364875687623174,0.3950605688374134
wavelet-LLH_glszm_ZoneVariance,radiomics,7797.831560140758,23960.450363171363
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,radiomics,16625.14912279431,15521.518143548124
wavelet-LLH_ngtdm_Busyness,radiomics,1.3406363203455651,1.6003897157153213
wavelet-LHL_firstorder_10Percentile,radiomics,82.87132075471699,1.4089498802444818
wavelet-LHL_firstorder_MeanAbsoluteDeviation,radiomics,2.720122351351063,0.8386481844625598
wavelet-LHL_firstorder_Minimum,radiomics,60.02452830188679,12.800551368731686
wavelet-LHL_firstorder_Range,radiomics,49.90377358490566,20.9507100097109
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,radiomics,1.8693395673610895,0.5176170402640489
wavelet-LHL_glcm_Autocorrelation,radiomics,950.6174901848703,947.624818130947
wavelet-LHL_glcm_DifferenceAverage,radiomics,3.533044210773928,1.0506373443380834
wavelet-LHL_glcm_Idmn,radiomics,0.989580484766014,0.0053165416954992
wavelet-LHL_glcm_Idn,radiomics,0.9339804988748156,0.0163313312506124
wavelet-LHL_glcm_JointAverage,radiomics,28.01101155494272,12.836236577962971
wavelet-LHL_glcm_SumAverage,radiomics,56.02202310988544,25.672473155925942
wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,radiomics,966.7009710637484,953.4495692519296
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,radiomics,1111051.5189225376,3586601.604707995
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,radiomics,12616.787634805914,10819.926471555253
wavelet-LHL_ngtdm_Contrast,radiomics,0.0456088825377944,0.027959148004096
wavelet-LHL_ngtdm_Strength,radiomics,1.0431678053987443,1.475304670390738
wavelet-LHH_firstorder_Kurtosis,radiomics,6.32650685795134,2.302483713925073
wavelet-LHH_firstorder_RootMeanSquared,radiomics,67.62923450166075,0.089389011070664
wavelet-LHH_glcm_Imc2,radiomics,0.4317551444115217,0.1058135486692076
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,radiomics,786871.673539835,3149428.416794921
wavelet-LHH_glszm_ZonePercentage,radiomics,0.3496623346331333,0.0841964319085099
wavelet-LHH_gldm_DependenceNonUniformityNormalized,radiomics,0.1850921174864389,0.0349943524198528
wavelet-LHH_gldm_SmallDependenceEmphasis,radiomics,0.3255003273627756,0.0658034631575287
wavelet-LHH_ngtdm_Contrast,radiomics,0.0506092453710687,0.0290463925135753
wavelet-LHH_ngtdm_Strength,radiomics,0.958745327911218,1.111469891387762
wavelet-HLL_firstorder_Uniformity,radiomics,0.0933737359623221,0.0310932324463338
wavelet-HLL_glcm_Imc1,radiomics,-0.0518877687533558,0.0185571057706389
wavelet-HLL_glcm_Imc2,radiomics,0.5187648861852372,0.0834493717616353
wavelet-HLL_glcm_JointEnergy,radiomics,0.0115432827996658,0.0090434078487139
wavelet-HLL_glcm_MaximumProbability,radiomics,0.02580365890816,0.0176630334387955
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,radiomics,0.0897554459940767,0.0284076224407589
wavelet-HLL_glrlm_LongRunEmphasis,radiomics,1.3302803387721496,0.134465686266096
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,radiomics,0.0041624336940105,0.0084814137817243
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,radiomics,0.0030071508136508,0.0047654346227661
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,radiomics,0.8414581344125093,0.0424275869145108
wavelet-HLL_glrlm_RunPercentage,radiomics,0.9109807759467629,0.0273530079281136
wavelet-HLL_glrlm_RunVariance,radiomics,0.1181046663407103,0.0518126469020869
wavelet-HLL_glrlm_ShortRunEmphasis,radiomics,0.9330685229885878,0.0206739056416707
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,radiomics,0.0027900832260387,0.0041820918453701
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,radiomics,9.360152111521892,61.83274024167033
