feature,stage,reason
log-sigma-1-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.277 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Energy,icc,ICC_A=0.728 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Entropy,icc,ICC_A=0.695 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.655 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Kurtosis,icc,ICC_A=0.488 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.525 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.621 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Mean,icc,ICC_A=0.222 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Median,icc,ICC_A=0.340 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Minimum,icc,ICC_A=0.354 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Range,icc,ICC_A=0.425 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.631 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,icc,ICC_A=0.168 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Skewness,icc,ICC_A=0.725 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.728 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Uniformity,icc,ICC_A=0.731 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Variance,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Autocorrelation,icc,ICC_A=0.201 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.303 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.205 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.546 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Contrast,icc,ICC_A=0.424 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Correlation,icc,ICC_A=0.160 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,icc,ICC_A=0.625 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,icc,ICC_A=0.693 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.366 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idmn,icc,ICC_A=0.662 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idn,icc,ICC_A=0.681 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointAverage,icc,ICC_A=0.327 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointEnergy,icc,ICC_A=0.712 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointEntropy,icc,ICC_A=0.683 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_MCC,icc,ICC_A=0.541 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_MaximumProbability,icc,ICC_A=0.716 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumAverage,icc,ICC_A=0.327 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumEntropy,icc,ICC_A=0.688 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.521 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.729 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,icc,ICC_A=0.499 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.203 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.205 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.478 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.468 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunEntropy,icc,ICC_A=0.661 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.702 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.203 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.465 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.708 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,icc,ICC_A=0.469 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.201 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.453 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.423 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.538 ≤ 0.75
