feature,icc_A,n_A,icc_B,n_B,pass
original_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
original_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
original_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
original_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
original_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
original_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
original_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
original_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
original_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
original_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
original_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
original_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
original_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
original_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
original_firstorder_10Percentile,0.8466553657582482,22,0.4409448818897638,8,True
original_firstorder_90Percentile,0.8694734373167586,22,0.5789014821272885,8,True
original_firstorder_Energy,0.5761750130870084,22,0.6692354624636234,8,False
original_firstorder_Entropy,0.792759720085705,22,0.5161327558581271,8,True
original_firstorder_InterquartileRange,0.789906327662015,22,0.6818181818181819,8,True
original_firstorder_Kurtosis,0.29515509404209933,22,0.3628126291538218,8,False
original_firstorder_Maximum,0.5993364906250747,22,0.3207631539722761,8,False
original_firstorder_MeanAbsoluteDeviation,0.7853194281990931,22,0.5340371236621172,8,True
original_firstorder_Mean,0.8996694566481566,22,0.535620451313066,8,True
original_firstorder_Median,0.9071646505067226,22,0.5169769989047097,8,True
original_firstorder_Minimum,0.27336891031158556,22,0.3071868583162217,8,False
original_firstorder_Range,0.544116034348761,22,0.21621621621621617,8,False
original_firstorder_RobustMeanAbsoluteDeviation,0.7917567548828478,22,0.7342245524515384,8,True
original_firstorder_RootMeanSquared,0.8949246747027993,22,0.5483731699290572,8,True
original_firstorder_Skewness,0.5227702594047247,22,0.09735194635728517,8,False
original_firstorder_TotalEnergy,0.5761750130870081,22,0.6692354624636235,8,False
original_firstorder_Uniformity,0.8248555989201587,22,0.6815051492314139,8,True
original_firstorder_Variance,0.6935293432763849,22,0.36102513579058043,8,False
original_glcm_Autocorrelation,0.692282015224348,22,0.6408065728267714,8,False
original_glcm_ClusterProminence,0.4266771258583856,22,0.11702183917328564,8,False
original_glcm_ClusterShade,0.39972533250934145,22,0.0937861612517885,8,False
original_glcm_ClusterTendency,0.7145913356483143,22,0.35180034715143926,8,False
original_glcm_Contrast,0.6362809201210439,22,0.5033548032194437,8,False
original_glcm_Correlation,0.8808848168505369,22,0.05343908328928846,8,True
original_glcm_DifferenceAverage,0.7472198425426037,22,0.635443957135374,8,False
original_glcm_DifferenceEntropy,0.7519751078338848,22,0.5742193771267754,8,True
original_glcm_DifferenceVariance,0.5795602738424247,22,0.379758138953026,8,False
original_glcm_Id,0.8075793284118289,22,0.7178162395429875,8,True
original_glcm_Idm,0.812836916987478,22,0.7229771002901381,8,True
original_glcm_Idmn,0.6452430050898423,22,0.2269003343307063,8,False
original_glcm_Idn,0.6122345109423141,22,0.31568975116805925,8,False
original_glcm_Imc1,0.8117146961771783,22,0.02164473049316454,8,True
original_glcm_Imc2,0.894718451795849,22,0.08017378700309982,8,True
original_glcm_InverseVariance,0.8098494282185287,22,0.7153864855368594,8,True
original_glcm_JointAverage,0.7690818194264522,22,0.5659125889936109,8,True
original_glcm_JointEnergy,0.8354925495012521,22,0.7071951048591041,8,True
original_glcm_JointEntropy,0.7889617195032123,22,0.5723090757744024,8,True
original_glcm_MCC,0.8392347867906099,22,-0.14440570105901107,8,True
original_glcm_MaximumProbability,0.8332950081086311,22,0.8358318730835664,8,True
original_glcm_SumAverage,0.7690818194264524,22,0.5659125889936121,8,True
original_glcm_SumEntropy,0.81311324014158,22,0.5263757753668301,8,True
original_glcm_SumSquares,0.7039782828581744,22,0.38713162655864103,8,False
original_glrlm_GrayLevelNonUniformity,0.8667684925659128,22,0.7530310712770899,8,True
original_glrlm_GrayLevelNonUniformityNormalized,0.8161582146593026,22,0.6332154467648311,8,True
original_glrlm_GrayLevelVariance,0.6900540535247658,22,0.33436558287280116,8,False
original_glrlm_HighGrayLevelRunEmphasis,0.6760681630737774,22,0.6349623775994193,8,False
original_glrlm_LongRunEmphasis,0.861908585419573,22,0.7885226424769676,8,True
original_glrlm_LongRunHighGrayLevelEmphasis,0.6762201880060554,22,0.719495384211071,8,False
original_glrlm_LongRunLowGrayLevelEmphasis,0.9265418883471298,22,0.2649643614528124,8,True
original_glrlm_LowGrayLevelRunEmphasis,0.9065124973148241,22,0.2522942545656886,8,True
original_glrlm_RunEntropy,0.7689235640751376,22,0.16717321729162013,8,True
original_glrlm_RunLengthNonUniformity,0.6975555845147042,22,0.4960065781449523,8,False
original_glrlm_RunLengthNonUniformityNormalized,0.8516422408878387,22,0.8257171785782721,8,True
original_glrlm_RunPercentage,0.8574855452804823,22,0.8164381685200011,8,True
original_glrlm_RunVariance,0.8665815306704643,22,0.7729492096020008,8,True
original_glrlm_ShortRunEmphasis,0.8535872049308981,22,0.8153490288496765,8,True
original_glrlm_ShortRunHighGrayLevelEmphasis,0.6750900938094148,22,0.6107553145875798,8,False
original_glrlm_ShortRunLowGrayLevelEmphasis,0.8973162402367062,22,0.2515739864819059,8,True
original_glszm_GrayLevelNonUniformity,0.7366181602091408,22,0.5254536990933427,8,False
original_glszm_GrayLevelNonUniformityNormalized,0.777672155357111,22,0.048692876181174544,8,True
original_glszm_GrayLevelVariance,0.6149506545684201,22,-0.011094752929791153,8,False
original_glszm_HighGrayLevelZoneEmphasis,0.629479759543285,22,0.5584864667150908,8,False
original_glszm_LargeAreaEmphasis,0.9025969153322707,22,0.8249615159638317,8,True
original_glszm_LargeAreaHighGrayLevelEmphasis,0.749841005761635,22,0.9403616876842842,8,False
original_glszm_LargeAreaLowGrayLevelEmphasis,0.9641582547541253,22,0.7728378025644149,8,True
original_glszm_LowGrayLevelZoneEmphasis,0.8799286911263093,22,0.2885117292861961,8,True
