feature,stage,reason
wavelet-LLH_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-LLH_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-LLH_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-LLH_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-LLH_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-LLH_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-LLH_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-LLH_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-LLH_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-LLH_firstorder_10Percentile,icc,ICC_A=0.665 ≤ 0.75
wavelet-LLH_firstorder_90Percentile,icc,ICC_A=0.534 ≤ 0.75
wavelet-LLH_firstorder_Energy,icc,ICC_A=0.734 ≤ 0.75
wavelet-LLH_firstorder_Entropy,icc,ICC_A=0.707 ≤ 0.75
wavelet-LLH_firstorder_InterquartileRange,icc,ICC_A=0.674 ≤ 0.75
wavelet-LLH_firstorder_Maximum,icc,ICC_A=0.743 ≤ 0.75
wavelet-LLH_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.620 ≤ 0.75
wavelet-LLH_firstorder_Mean,icc,ICC_A=0.683 ≤ 0.75
wavelet-LLH_firstorder_Median,icc,ICC_A=0.547 ≤ 0.75
wavelet-LLH_firstorder_Minimum,icc,ICC_A=0.648 ≤ 0.75
wavelet-LLH_firstorder_Range,icc,ICC_A=0.679 ≤ 0.75
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.659 ≤ 0.75
wavelet-LLH_firstorder_RootMeanSquared,icc,ICC_A=0.634 ≤ 0.75
wavelet-LLH_firstorder_TotalEnergy,icc,ICC_A=0.734 ≤ 0.75
wavelet-LLH_firstorder_Uniformity,icc,ICC_A=0.699 ≤ 0.75
wavelet-LLH_firstorder_Variance,icc,ICC_A=0.468 ≤ 0.75
wavelet-LLH_glcm_Autocorrelation,icc,ICC_A=0.488 ≤ 0.75
wavelet-LLH_glcm_ClusterProminence,icc,ICC_A=0.426 ≤ 0.75
wavelet-LLH_glcm_ClusterTendency,icc,ICC_A=0.502 ≤ 0.75
wavelet-LLH_glcm_Contrast,icc,ICC_A=0.327 ≤ 0.75
wavelet-LLH_glcm_Correlation,icc,ICC_A=0.739 ≤ 0.75
wavelet-LLH_glcm_DifferenceAverage,icc,ICC_A=0.515 ≤ 0.75
wavelet-LLH_glcm_DifferenceEntropy,icc,ICC_A=0.667 ≤ 0.75
wavelet-LLH_glcm_DifferenceVariance,icc,ICC_A=0.480 ≤ 0.75
wavelet-LLH_glcm_Id,icc,ICC_A=0.736 ≤ 0.75
wavelet-LLH_glcm_Idm,icc,ICC_A=0.732 ≤ 0.75
wavelet-LLH_glcm_InverseVariance,icc,ICC_A=0.740 ≤ 0.75
wavelet-LLH_glcm_JointAverage,icc,ICC_A=0.643 ≤ 0.75
wavelet-LLH_glcm_JointEnergy,icc,ICC_A=0.639 ≤ 0.75
wavelet-LLH_glcm_JointEntropy,icc,ICC_A=0.714 ≤ 0.75
wavelet-LLH_glcm_MCC,icc,ICC_A=0.716 ≤ 0.75
wavelet-LLH_glcm_MaximumProbability,icc,ICC_A=0.668 ≤ 0.75
