feature,icc_A,n_A,icc_B,n_B,pass
wavelet-LLH_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
wavelet-LLH_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
wavelet-LLH_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
wavelet-LLH_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
wavelet-LLH_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
wavelet-LLH_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
wavelet-LLH_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
wavelet-LLH_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
wavelet-LLH_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
wavelet-LLH_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
wavelet-LLH_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
wavelet-LLH_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
wavelet-LLH_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
wavelet-LLH_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
wavelet-LLH_firstorder_10Percentile,0.665169907530728,22,0.09103078982597056,8,False
wavelet-LLH_firstorder_90Percentile,0.533820689225896,22,0.3215130023640662,8,False
wavelet-LLH_firstorder_Energy,0.7338201430594055,22,0.5610466285280596,8,False
wavelet-LLH_firstorder_Entropy,0.7071252982996228,22,0.2700647006668066,8,False
wavelet-LLH_firstorder_InterquartileRange,0.6739494235775384,22,0.28014184397163117,8,False
wavelet-LLH_firstorder_Kurtosis,0.9392234464537303,22,0.890426323806561,8,True
wavelet-LLH_firstorder_Maximum,0.7432328230374122,22,0.031307362839078055,8,False
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6197534426120804,22,0.17446676862347804,8,False
wavelet-LLH_firstorder_Mean,0.6831287241100984,22,0.5192139501678833,8,False
wavelet-LLH_firstorder_Median,0.5474137931034491,22,0.36363636363636365,8,False
wavelet-LLH_firstorder_Minimum,0.647854022788902,22,0.13081339095658906,8,False
wavelet-LLH_firstorder_Range,0.6785103331691542,22,0.0478324375682459,8,False
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.659480362248567,22,0.23042063151110395,8,False
wavelet-LLH_firstorder_RootMeanSquared,0.6343874707532203,22,0.7642331354535261,8,False
wavelet-LLH_firstorder_Skewness,0.8450598480189296,22,0.9014043049281035,8,True
wavelet-LLH_firstorder_TotalEnergy,0.7338201430594057,22,0.5610466285280592,8,False
wavelet-LLH_firstorder_Uniformity,0.6986808781612251,22,0.3774440538009646,8,False
wavelet-LLH_firstorder_Variance,0.46825676963765556,22,0.07189889210358853,8,False
wavelet-LLH_glcm_Autocorrelation,0.4882461097677927,22,0.04390921438019537,8,False
wavelet-LLH_glcm_ClusterProminence,0.42597234399352485,22,0.029057558608801402,8,False
wavelet-LLH_glcm_ClusterShade,0.8146718192406703,22,0.6886115898720465,8,True
wavelet-LLH_glcm_ClusterTendency,0.5019069244071093,22,0.07696502917685641,8,False
wavelet-LLH_glcm_Contrast,0.32709359187716414,22,0.06196076504565221,8,False
wavelet-LLH_glcm_Correlation,0.7391167800498357,22,0.14087496965699867,8,False
