feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-1-0-mm-3D_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
log-sigma-1-0-mm-3D_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
log-sigma-1-0-mm-3D_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
log-sigma-1-0-mm-3D_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
log-sigma-1-0-mm-3D_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
log-sigma-1-0-mm-3D_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
log-sigma-1-0-mm-3D_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
log-sigma-1-0-mm-3D_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
log-sigma-1-0-mm-3D_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
log-sigma-1-0-mm-3D_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
log-sigma-1-0-mm-3D_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.7313817992041771,22,0.0,8,False
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.2875989445910295,22,0.5757575757575759,8,False
log-sigma-1-0-mm-3D_firstorder_Energy,0.7284671172777129,22,0.5544722956345263,8,False
log-sigma-1-0-mm-3D_firstorder_Entropy,0.6943890719791558,22,0.42950476781361024,8,False
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.7463235294117647,22,0.4324324324324324,8,False
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.4903295070438371,22,0.4091042386757951,8,False
log-sigma-1-0-mm-3D_firstorder_Maximum,0.511113177717846,22,0.2195540308747856,8,False
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.6205466497373668,22,0.32875104181350334,8,False
log-sigma-1-0-mm-3D_firstorder_Mean,0.2241224631955995,22,0.532230900948463,8,False
log-sigma-1-0-mm-3D_firstorder_Median,0.4026258205689284,22,0.0,8,False
log-sigma-1-0-mm-3D_firstorder_Minimum,0.34929117638485374,22,0.23641894828335505,8,False
log-sigma-1-0-mm-3D_firstorder_Range,0.4194172919391479,22,0.2531645569620254,8,False
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.631360928615561,22,0.3721086315201799,8,False
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.1703759767030834,22,0.5889303831346098,8,False
log-sigma-1-0-mm-3D_firstorder_Skewness,0.726570141983467,22,0.8382688704125576,8,False
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.7284671172777126,22,0.5544722956345267,8,False
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.730735716449449,22,0.5487644573998832,8,False
log-sigma-1-0-mm-3D_firstorder_Variance,0.5015938346341119,22,0.22093773424254295,8,False
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.20242068982571493,22,0.19864580950564587,8,False
log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.30316523423129693,22,0.02354099408320386,8,False
log-sigma-1-0-mm-3D_glcm_ClusterShade,0.20471198954459524,22,0.6241132028895233,8,False
log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.5460138486966934,22,0.2241022335290162,8,False
log-sigma-1-0-mm-3D_glcm_Contrast,0.423778955474727,22,0.19588930277569241,8,False
log-sigma-1-0-mm-3D_glcm_Correlation,0.2020093889359704,22,0.6551933492968949,8,False
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.6250457910466508,22,0.3312844267608251,8,False
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.6818488473249453,22,0.3591261525199792,8,False
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.3658438013611891,22,0.14971597357488714,8,False
log-sigma-1-0-mm-3D_glcm_Id,0.7583382034260694,22,0.4930175753642889,8,True
log-sigma-1-0-mm-3D_glcm_Idm,0.7648694705124967,22,0.5050173727938441,8,True
log-sigma-1-0-mm-3D_glcm_Idmn,0.668189393228729,22,0.2868337399103999,8,False
log-sigma-1-0-mm-3D_glcm_Idn,0.6941267064148015,22,0.35000554338031376,8,False
log-sigma-1-0-mm-3D_glcm_Imc1,0.6320283303771044,22,0.4900029847206436,8,False
log-sigma-1-0-mm-3D_glcm_Imc2,0.6401140979545582,22,0.5712027501663174,8,False
log-sigma-1-0-mm-3D_glcm_InverseVariance,0.7361202671293429,22,0.3999372622578275,8,False
log-sigma-1-0-mm-3D_glcm_JointAverage,0.3212424520983221,22,0.29663393766000185,8,False
log-sigma-1-0-mm-3D_glcm_JointEnergy,0.7183976073903445,22,0.583327804537463,8,False
log-sigma-1-0-mm-3D_glcm_JointEntropy,0.6952258739312656,22,0.40126035500973434,8,False
log-sigma-1-0-mm-3D_glcm_MCC,0.3792598782208068,22,0.5581800848420166,8,False
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.7502764629696325,22,0.6258121131219863,8,True
log-sigma-1-0-mm-3D_glcm_SumAverage,0.32124245209832236,22,0.2966339376600024,8,False
log-sigma-1-0-mm-3D_glcm_SumEntropy,0.6899951502992014,22,0.43751360171020637,8,False
log-sigma-1-0-mm-3D_glcm_SumSquares,0.5211591841057883,22,0.20347362413361783,8,False
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,0.8756655648369309,22,0.6721072235362675,8,True
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.7251844178368272,22,0.5041620022031407,8,False
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.4949684561870991,22,0.20561968648674775,8,False
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.20368954919690085,22,0.18910280057360326,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,0.8219009348256524,22,0.747997315228151,8,True
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.2112273478520027,22,0.20678477194216613,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5217162960402456,22,0.5130503406080309,8,False
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.4892473104792837,22,0.3619171794236112,8,False
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.6078491455301361,22,0.1902502033602452,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.6643243491939221,22,0.49001168381506605,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.8106868472626774,22,0.7615722508601247,8,True
log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.8213015035983415,22,0.7595796084514354,8,True
log-sigma-1-0-mm-3D_glrlm_RunVariance,0.8320101380888165,22,0.732088939411522,8,True
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.81013568697436,22,0.7637715202112654,8,True
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.20417832643032774,22,0.18771454413450303,8,False
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.4717090726884629,22,0.3164997947352399,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.6873540496409034,22,0.38298662059140626,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6831984285366949,22,0.35686906392615464,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.44804955339818664,22,0.07948261278401506,8,False
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.20231316229575974,22,0.13881130111444373,8,False
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.7819484282492788,22,0.7752590798599532,8,True
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8953284603668719,22,0.4832348185685348,8,True
