feature,stage,reason
original_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
original_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
original_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
original_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
original_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
original_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
original_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
original_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
original_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
original_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
original_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
original_firstorder_Energy,icc,ICC_A=0.578 ≤ 0.75
original_firstorder_Kurtosis,icc,ICC_A=0.293 ≤ 0.75
original_firstorder_Maximum,icc,ICC_A=0.597 ≤ 0.75
original_firstorder_Minimum,icc,ICC_A=0.240 ≤ 0.75
original_firstorder_Range,icc,ICC_A=0.546 ≤ 0.75
original_firstorder_Skewness,icc,ICC_A=0.511 ≤ 0.75
original_firstorder_TotalEnergy,icc,ICC_A=0.578 ≤ 0.75
original_firstorder_Variance,icc,ICC_A=0.694 ≤ 0.75
original_glcm_Autocorrelation,icc,ICC_A=0.712 ≤ 0.75
original_glcm_ClusterProminence,icc,ICC_A=0.428 ≤ 0.75
original_glcm_ClusterShade,icc,ICC_A=0.396 ≤ 0.75
original_glcm_ClusterTendency,icc,ICC_A=0.715 ≤ 0.75
original_glcm_Contrast,icc,ICC_A=0.637 ≤ 0.75
original_glcm_DifferenceAverage,icc,ICC_A=0.748 ≤ 0.75
original_glcm_DifferenceEntropy,icc,ICC_A=0.740 ≤ 0.75
original_glcm_DifferenceVariance,icc,ICC_A=0.581 ≤ 0.75
original_glcm_Idmn,icc,ICC_A=0.647 ≤ 0.75
original_glcm_Idn,icc,ICC_A=0.617 ≤ 0.75
original_glcm_SumSquares,icc,ICC_A=0.704 ≤ 0.75
original_glrlm_GrayLevelVariance,icc,ICC_A=0.684 ≤ 0.75
original_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.692 ≤ 0.75
original_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.682 ≤ 0.75
original_glrlm_RunEntropy,icc,ICC_A=0.730 ≤ 0.75
original_glrlm_RunLengthNonUniformity,icc,ICC_A=0.652 ≤ 0.75
original_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.689 ≤ 0.75
original_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.731 ≤ 0.75
original_glszm_GrayLevelNonUniformity,icc,ICC_A=0.654 ≤ 0.75
original_glszm_GrayLevelVariance,icc,ICC_A=0.547 ≤ 0.75
original_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.581 ≤ 0.75
original_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.447 ≤ 0.75
original_glszm_SizeZoneNonUniformity,icc,ICC_A=0.527 ≤ 0.75
original_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.609 ≤ 0.75
original_glszm_SmallAreaEmphasis,icc,ICC_A=0.592 ≤ 0.75
original_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.557 ≤ 0.75
original_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.529 ≤ 0.75
original_gldm_DependenceEntropy,icc,ICC_A=0.749 ≤ 0.75
original_gldm_DependenceNonUniformity,icc,ICC_A=0.620 ≤ 0.75
original_gldm_GrayLevelVariance,icc,ICC_A=0.694 ≤ 0.75
original_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.698 ≤ 0.75
original_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.720 ≤ 0.75
original_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.638 ≤ 0.75
original_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.307 ≤ 0.75
original_ngtdm_Busyness,icc,ICC_A=0.748 ≤ 0.75
original_ngtdm_Coarseness,icc,ICC_A=0.681 ≤ 0.75
original_ngtdm_Complexity,icc,ICC_A=0.454 ≤ 0.75
original_ngtdm_Strength,icc,ICC_A=0.559 ≤ 0.75
