feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-1-0-mm-3D_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
log-sigma-1-0-mm-3D_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
log-sigma-1-0-mm-3D_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
log-sigma-1-0-mm-3D_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
log-sigma-1-0-mm-3D_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
log-sigma-1-0-mm-3D_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
log-sigma-1-0-mm-3D_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
log-sigma-1-0-mm-3D_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
log-sigma-1-0-mm-3D_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
log-sigma-1-0-mm-3D_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
log-sigma-1-0-mm-3D_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.726878612716763,22,0.6459627329192547,8,False
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.4429610398423865,22,-0.3243243243243243,8,False
log-sigma-1-0-mm-3D_firstorder_Energy,0.7242458261587427,22,0.5532461396820434,8,False
log-sigma-1-0-mm-3D_firstorder_Entropy,0.7806064638104666,22,0.6671301564315201,8,True
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.6460895264182223,22,-0.05755395683453235,8,False
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.48701907618580104,22,0.37349166145227497,8,False
log-sigma-1-0-mm-3D_firstorder_Maximum,0.637122937806309,22,0.26738228836301536,8,False
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.7175536921767994,22,0.6070190654418396,8,False
log-sigma-1-0-mm-3D_firstorder_Mean,0.5826341953986902,22,0.23683027227712336,8,False
log-sigma-1-0-mm-3D_firstorder_Median,0.6769230769230777,22,0.2911392405063291,8,False
log-sigma-1-0-mm-3D_firstorder_Minimum,0.4374619941474555,22,0.5814756671899529,8,False
log-sigma-1-0-mm-3D_firstorder_Range,0.5703831731996308,22,0.7233685745534086,8,False
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.6270350286330186,22,0.2965523892595163,8,False
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.5771599009136988,22,0.17725772777063314,8,False
log-sigma-1-0-mm-3D_firstorder_Skewness,0.7256218254056791,22,0.841717202286234,8,False
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.7242458261587429,22,0.5532461396820437,8,False
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.7801022910243611,22,0.5240827813498411,8,True
log-sigma-1-0-mm-3D_firstorder_Variance,0.7628375279387916,22,0.68059483713811,8,True
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.40018566949105416,22,0.6522976140259034,8,False
log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.6957829378644177,22,0.7410503826408004,8,False
log-sigma-1-0-mm-3D_glcm_ClusterShade,0.5693996127272899,22,0.7809360444574707,8,False
log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.645398457324374,22,0.7588855165603716,8,False
log-sigma-1-0-mm-3D_glcm_Contrast,0.760965850865713,22,-0.04175893116448422,8,True
log-sigma-1-0-mm-3D_glcm_Correlation,0.15682473479760212,22,0.6524384620006338,8,False
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.810861547994003,22,-0.13284107581545354,8,True
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.8066559212762264,22,-0.026015171967677452,8,True
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.695196086242848,22,0.10664433381376918,8,False
log-sigma-1-0-mm-3D_glcm_Id,0.8215846383526225,22,-0.24075432383857456,8,True
log-sigma-1-0-mm-3D_glcm_Idm,0.814211117023607,22,-0.23555153449113894,8,True
log-sigma-1-0-mm-3D_glcm_Idmn,0.6721131275009334,22,0.2302317634768344,8,False
log-sigma-1-0-mm-3D_glcm_Idn,0.6871030515866581,22,0.25845938199979335,8,False
log-sigma-1-0-mm-3D_glcm_Imc1,0.885860692153538,22,0.3278076977748645,8,True
log-sigma-1-0-mm-3D_glcm_Imc2,0.8375093782040878,22,0.20194958738951108,8,True
log-sigma-1-0-mm-3D_glcm_InverseVariance,0.8178669581694152,22,-0.18951015407111277,8,True
log-sigma-1-0-mm-3D_glcm_JointAverage,0.4361452875563773,22,0.6041495235397989,8,False
log-sigma-1-0-mm-3D_glcm_JointEnergy,0.7713637667187715,22,0.15838729531900853,8,True
log-sigma-1-0-mm-3D_glcm_JointEntropy,0.6489236563810866,22,0.4801510894990594,8,False
log-sigma-1-0-mm-3D_glcm_MCC,0.506233795171057,22,0.5025924515128408,8,False
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.7422281121662122,22,-0.2802209144044915,8,False
log-sigma-1-0-mm-3D_glcm_SumAverage,0.4361452875563768,22,0.6041495235397968,8,False
log-sigma-1-0-mm-3D_glcm_SumEntropy,0.7145975532169112,22,0.7482997585159238,8,False
log-sigma-1-0-mm-3D_glcm_SumSquares,0.6955375625725951,22,0.6635454249799398,8,False
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,0.7638766119828886,22,0.4241968645631657,8,True
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.7776381594618702,22,0.5611422548527887,8,True
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.7642524039310322,22,0.6897524666676444,8,True
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.398761100636764,22,0.6492106826522901,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,0.7458657804186436,22,-0.19491798915079334,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.40387954293729045,22,0.6358284651505778,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5140643079147088,22,0.25202949389645596,8,False
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.5060640771301321,22,0.24237138500548122,8,False
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.7262901435934802,22,0.7455862945460016,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.7326998485007188,22,0.5811870280337105,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.7466150262055689,22,-0.12966202105183453,8,False
log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.7462223583477475,22,-0.1621315421241406,8,False
log-sigma-1-0-mm-3D_glrlm_RunVariance,0.7424602062663037,22,-0.22486076999919588,8,False
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.7461857154065056,22,-0.14031296785182315,8,False
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.39739544293344564,22,0.6521605288793805,8,False
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.5040618253242309,22,0.24007292615477913,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.7709655690258433,22,0.49525642142694354,8,True
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.7489775538514064,22,0.7831327159318586,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.7864416916283108,22,0.7613010490006776,8,True
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.39800266671970663,22,0.636502733311258,8,False
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.7323316268547039,22,-0.08620486041057969,8,False
