feature,stage,reason
original_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
original_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
original_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
original_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
original_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
original_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
original_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
original_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
original_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
original_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
original_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
original_firstorder_10Percentile,icc,ICC_A=0.589 ≤ 0.75
original_firstorder_90Percentile,icc,ICC_A=0.516 ≤ 0.75
original_firstorder_Energy,icc,ICC_A=0.729 ≤ 0.75
original_firstorder_Entropy,icc,ICC_A=0.549 ≤ 0.75
original_firstorder_InterquartileRange,icc,ICC_A=0.674 ≤ 0.75
original_firstorder_Kurtosis,icc,ICC_A=0.294 ≤ 0.75
original_firstorder_Maximum,icc,ICC_A=0.508 ≤ 0.75
original_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.658 ≤ 0.75
original_firstorder_Mean,icc,ICC_A=0.249 ≤ 0.75
original_firstorder_Median,icc,ICC_A=0.479 ≤ 0.75
original_firstorder_Minimum,icc,ICC_A=0.531 ≤ 0.75
original_firstorder_Range,icc,ICC_A=0.574 ≤ 0.75
original_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.716 ≤ 0.75
original_firstorder_RootMeanSquared,icc,ICC_A=0.288 ≤ 0.75
original_firstorder_Skewness,icc,ICC_A=0.525 ≤ 0.75
original_firstorder_TotalEnergy,icc,ICC_A=0.729 ≤ 0.75
original_firstorder_Uniformity,icc,ICC_A=0.627 ≤ 0.75
original_firstorder_Variance,icc,ICC_A=-0.043 ≤ 0.75
original_glcm_Autocorrelation,icc,ICC_A=0.529 ≤ 0.75
original_glcm_ClusterProminence,icc,ICC_A=0.293 ≤ 0.75
original_glcm_ClusterShade,icc,ICC_A=0.560 ≤ 0.75
original_glcm_ClusterTendency,icc,ICC_A=0.678 ≤ 0.75
original_glcm_Idm,icc,ICC_A=0.748 ≤ 0.75
original_glcm_Idmn,icc,ICC_A=0.637 ≤ 0.75
original_glcm_Idn,icc,ICC_A=0.604 ≤ 0.75
original_glcm_Imc1,icc,ICC_A=0.718 ≤ 0.75
original_glcm_JointAverage,icc,ICC_A=0.510 ≤ 0.75
original_glcm_JointEnergy,icc,ICC_A=0.651 ≤ 0.75
original_glcm_JointEntropy,icc,ICC_A=0.646 ≤ 0.75
original_glcm_MCC,icc,ICC_A=0.717 ≤ 0.75
original_glcm_MaximumProbability,icc,ICC_A=0.729 ≤ 0.75
original_glcm_SumAverage,icc,ICC_A=0.510 ≤ 0.75
original_glcm_SumEntropy,icc,ICC_A=0.660 ≤ 0.75
original_glcm_SumSquares,icc,ICC_A=0.297 ≤ 0.75
original_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.734 ≤ 0.75
original_glrlm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.621 ≤ 0.75
original_glrlm_GrayLevelVariance,icc,ICC_A=0.593 ≤ 0.75
original_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.547 ≤ 0.75
original_glrlm_LongRunEmphasis,icc,ICC_A=0.641 ≤ 0.75
original_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.568 ≤ 0.75
original_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.426 ≤ 0.75
original_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.444 ≤ 0.75
original_glrlm_RunEntropy,icc,ICC_A=0.619 ≤ 0.75
original_glrlm_RunLengthNonUniformity,icc,ICC_A=0.740 ≤ 0.75
original_glrlm_RunLengthNonUniformityNormalized,icc,ICC_A=0.670 ≤ 0.75
original_glrlm_RunPercentage,icc,ICC_A=0.660 ≤ 0.75
original_glrlm_RunVariance,icc,ICC_A=0.611 ≤ 0.75
original_glrlm_ShortRunEmphasis,icc,ICC_A=0.669 ≤ 0.75
