feature,icc_A,n_A,icc_B,n_B,pass
wavelet-LLH_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
wavelet-LLH_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
wavelet-LLH_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
wavelet-LLH_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
wavelet-LLH_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
wavelet-LLH_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
wavelet-LLH_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
wavelet-LLH_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
wavelet-LLH_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
wavelet-LLH_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
wavelet-LLH_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
wavelet-LLH_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
wavelet-LLH_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
wavelet-LLH_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
wavelet-LLH_firstorder_10Percentile,0.8427575522850507,22,0.0208107129931242,8,True
wavelet-LLH_firstorder_90Percentile,0.6781021897810219,22,-0.14223627024892838,8,False
wavelet-LLH_firstorder_Energy,0.7332091690786614,22,0.5621933194752762,8,False
wavelet-LLH_firstorder_Entropy,0.843217361005354,22,-0.38550101352548477,8,True
wavelet-LLH_firstorder_InterquartileRange,0.7110449981405726,22,-0.3658536585365853,8,False
wavelet-LLH_firstorder_Kurtosis,0.9395756145627283,22,0.8884527760799039,8,True
wavelet-LLH_firstorder_Maximum,0.9004935339297118,22,0.22004662004662004,8,True
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.886231068996536,22,-0.3292311800750452,8,True
wavelet-LLH_firstorder_Mean,0.7794020789229718,22,0.45047685044995533,8,True
wavelet-LLH_firstorder_Median,0.6093023255813953,22,0.0,8,False
wavelet-LLH_firstorder_Minimum,0.8656859609849691,22,0.5234276467648669,8,True
wavelet-LLH_firstorder_Range,0.9083133673839933,22,0.3851435306480357,8,True
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.7521176577911934,22,-0.375321871347681,8,True
wavelet-LLH_firstorder_RootMeanSquared,0.838891132669029,22,0.4585765998161745,8,True
wavelet-LLH_firstorder_Skewness,0.8448034449797054,22,0.9004841118131579,8,True
wavelet-LLH_firstorder_TotalEnergy,0.7332091690786615,22,0.5621933194752761,8,False
wavelet-LLH_firstorder_Uniformity,0.8374784114369321,22,-0.3729349947877312,8,True
wavelet-LLH_firstorder_Variance,0.9516474533971073,22,0.056027315391722614,8,True
wavelet-LLH_glcm_Autocorrelation,0.8226252680087466,22,0.5893442383819543,8,True
wavelet-LLH_glcm_ClusterProminence,0.7676606789454006,22,0.24998360613633616,8,True
wavelet-LLH_glcm_ClusterShade,0.9173279597227144,22,0.3958714193894251,8,True
wavelet-LLH_glcm_ClusterTendency,0.9421408423609051,22,0.1317941120992133,8,True
wavelet-LLH_glcm_Contrast,0.9060670865653041,22,-0.3868760784402172,8,True
wavelet-LLH_glcm_Correlation,0.7392906003045187,22,0.13833546182802106,8,False
