feature,stage,reason
log-sigma-1-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.460 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Energy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.673 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Kurtosis,icc,ICC_A=0.486 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.650 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.717 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Mean,icc,ICC_A=0.581 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Median,icc,ICC_A=0.584 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Minimum,icc,ICC_A=0.443 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Range,icc,ICC_A=0.573 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.590 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,icc,ICC_A=0.576 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Skewness,icc,ICC_A=0.725 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Autocorrelation,icc,ICC_A=0.409 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.695 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.570 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.645 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Correlation,icc,ICC_A=0.153 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.697 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idmn,icc,ICC_A=0.668 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idn,icc,ICC_A=0.688 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Imc1,icc,ICC_A=0.700 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Imc2,icc,ICC_A=0.641 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointAverage,icc,ICC_A=0.440 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_MCC,icc,ICC_A=0.385 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumAverage,icc,ICC_A=0.440 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumEntropy,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.696 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.407 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.423 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.539 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.503 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunEntropy,icc,ICC_A=0.667 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.737 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunVariance,icc,ICC_A=0.747 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.403 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.493 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.410 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,icc,ICC_A=0.710 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.332 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.450 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.736 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.723 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.422 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.388 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,icc,ICC_A=0.641 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_ZoneVariance,icc,ICC_A=0.711 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,icc,ICC_A=0.247 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.744 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_DependenceVariance,icc,ICC_A=0.750 ≤ 0.75
