feature,icc_before,n_pairs_x,icc_after,n_pairs_y,norm
original_shape_Elongation,0.4697598842624501,22,0.4689547866374632,22,muscle
original_shape_Flatness,0.616507232972749,22,0.6164846939503607,22,muscle
original_shape_LeastAxisLength,0.7669594053436322,22,0.7666994131226085,22,muscle
original_shape_MajorAxisLength,0.7644796519635452,22,0.763893924011041,22,muscle
original_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.8171174796830222,22,muscle
original_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.7361909442434235,22,muscle
original_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.6490171098803964,22,muscle
original_shape_Maximum3DDiameter,0.739142709602197,22,0.7351858894546601,22,muscle
original_shape_MeshVolume,0.7283102577095294,22,0.7276336470154947,22,muscle
original_shape_MinorAxisLength,0.6657388317444173,22,0.6658781123848779,22,muscle
original_shape_Sphericity,0.5113266810893029,22,0.5100073449241029,22,muscle
original_shape_SurfaceArea,0.7442170545138365,22,0.7435556323002962,22,muscle
original_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.4968251817341963,22,muscle
original_shape_VoxelVolume,0.7286509529434513,22,0.7279763517296081,22,muscle
original_firstorder_10Percentile,0.8253968253968254,22,0.8940361202984213,22,muscle
original_firstorder_90Percentile,0.8549954170485794,22,0.8869528324384963,22,muscle
original_firstorder_Energy,0.578206439411381,22,0.5803381958425478,22,muscle
original_firstorder_Entropy,0.7911720252588044,22,0.7917721937503202,22,muscle
original_firstorder_InterquartileRange,0.8053392658509456,22,0.8174317553459095,22,muscle
original_firstorder_Kurtosis,0.293368233240254,22,0.2958916013713994,22,muscle
original_firstorder_Maximum,0.5965360920609084,22,0.6595468198128721,22,muscle
original_firstorder_MeanAbsoluteDeviation,0.7869371544464203,22,0.8065790561924691,22,muscle
original_firstorder_Mean,0.8998989608081029,22,0.9279379958546399,22,muscle
original_firstorder_Median,0.8990895295902885,22,0.9233029155417887,22,muscle
original_firstorder_Minimum,0.23991726990692808,22,0.45910137874561346,22,muscle
original_firstorder_Range,0.5457693775129869,22,0.5832990461754615,22,muscle
original_firstorder_RobustMeanAbsoluteDeviation,0.8102293352723028,22,0.8299229563958535,22,muscle
original_firstorder_RootMeanSquared,0.8952309961152362,22,0.9234642232758887,22,muscle
original_firstorder_Skewness,0.5109074652500835,22,0.51538226328886,22,muscle
original_firstorder_TotalEnergy,0.5782064394113802,22,0.5803381958425475,22,muscle
original_firstorder_Uniformity,0.8250925422618822,22,0.8156916125970737,22,muscle
