影像号,读者,read,n4,resample,align,crop,zscore,save,total
IMG-FD56119EA7,R1,0.117,52.676,0.977,0.0,0.039,0.01,0.01,53.829
IMG-9E2C4ABE0B,R1,0.201,6.439,1.228,0.0,0.02,0.009,0.007,7.903
IMG-9E2C4ABE0B,R2,0.138,5.499,0.0,1.258,0.022,0.009,0.007,6.933
IMG-2F73457616,R1,0.147,5.325,1.44,0.0,0.018,0.009,0.008,6.947
IMG-B620C26C3C,R1,0.058,1.505,0.525,0.0,0.017,0.011,0.012,2.127
IMG-D0FB6C7AE7,R1,0.142,50.992,1.048,0.0,0.014,0.009,0.008,52.214
IMG-D0FB6C7AE7,R2,0.114,51.634,0.0,1.016,0.017,0.01,0.008,52.798
IMG-21459DC175,R1,0.152,5.154,1.218,0.0,0.018,0.01,0.008,6.559
IMG-7692AF5B6E,R1,0.173,6.543,1.531,0.0,0.026,0.009,0.007,8.289
IMG-1815129EC4,R1,0.158,5.198,1.23,0.0,0.023,0.009,0.01,6.628
IMG-1815129EC4,R2,0.142,5.246,0.0,1.214,0.028,0.009,0.008,6.647
IMG-8605D71E24,R1,0.277,10.039,2.122,0.0,0.031,0.011,0.008,12.488
IMG-13AB453ACC,R1,0.153,6.393,1.326,0.0,0.019,0.009,0.008,7.907
IMG-6827311D79,R1,0.144,5.004,1.15,0.0,0.015,0.01,0.008,6.33
IMG-A8BED95109,R1,0.091,2.317,0.794,0.0,0.029,0.009,0.01,3.25
IMG-AD73EFA971,R1,0.205,5.034,1.23,0.0,0.018,0.011,0.009,6.507
IMG-AD73EFA971,R2,0.14,4.896,0.0,1.212,0.022,0.01,0.009,6.289
IMG-34BB6ABEC6,R1,0.092,2.136,1.258,0.0,0.051,0.011,0.008,3.555
IMG-C75BD32FBE,R1,0.185,5.405,1.213,0.0,0.017,0.009,0.007,6.837
IMG-88A5AD1265,R1,0.082,2.735,0.783,0.0,0.027,0.01,0.008,3.645
IMG-833E2B96C5,R1,0.151,4.111,1.02,0.0,0.017,0.011,0.006,5.316
IMG-0BF441CFFD,R1,0.147,5.264,1.572,0.0,0.018,0.011,0.008,7.018
IMG-B58B195A92,R1,0.143,5.769,1.26,0.0,0.017,0.009,0.007,7.206
IMG-D41184EA72,R1,0.125,3.78,1.026,0.0,0.014,0.009,0.008,4.96
IMG-902274DA71,R1,0.157,5.17,1.557,0.0,0.016,0.011,0.006,6.917
IMG-C494A4152C,R1,0.083,2.473,0.954,0.0,0.028,0.011,0.009,3.558
