影像号,读者,read,n4,resample,align,crop,zscore,save,total
IMG-FD56119EA7,R1,0.08,36.532,0.677,0.0,0.024,0.002,0.006,37.321
IMG-9E2C4ABE0B,R1,0.134,3.471,0.948,0.0,0.013,0.002,0.005,4.573
IMG-9E2C4ABE0B,R2,0.098,3.652,0.0,1.001,0.016,0.003,0.006,4.775
IMG-2F73457616,R1,0.108,4.394,1.976,0.0,0.027,0.005,0.012,6.521
IMG-B620C26C3C,R1,0.086,1.583,0.579,0.0,0.024,0.003,0.012,2.287
IMG-D0FB6C7AE7,R1,0.21,58.322,1.341,0.0,0.021,0.003,0.007,59.905
IMG-D0FB6C7AE7,R2,0.161,52.552,0.0,1.111,0.017,0.003,0.009,53.852
IMG-21459DC175,R1,0.156,5.354,1.493,0.0,0.018,0.002,0.007,7.03
IMG-7692AF5B6E,R1,0.176,6.469,1.703,0.0,0.026,0.002,0.007,8.383
IMG-1815129EC4,R1,0.154,5.203,1.343,0.0,0.025,0.01,0.01,6.746
IMG-1815129EC4,R2,0.155,5.16,0.0,1.377,0.027,0.006,0.009,6.735
IMG-8605D71E24,R1,0.284,10.055,2.564,0.0,0.032,0.004,0.012,12.951
IMG-13AB453ACC,R1,0.166,6.52,1.368,0.0,0.02,0.007,0.009,8.09
IMG-6827311D79,R1,0.159,5.108,1.255,0.0,0.017,0.003,0.01,6.551
IMG-A8BED95109,R1,0.093,2.407,0.847,0.0,0.029,0.003,0.009,3.387
IMG-AD73EFA971,R1,0.186,5.012,1.358,0.0,0.022,0.006,0.01,6.594
IMG-AD73EFA971,R2,0.149,5.121,0.0,1.349,0.025,0.005,0.009,6.658
IMG-34BB6ABEC6,R1,0.093,2.261,1.355,0.0,0.054,0.002,0.01,3.775
IMG-C75BD32FBE,R1,0.186,5.425,1.437,0.0,0.021,0.002,0.007,7.077
IMG-88A5AD1265,R1,0.098,2.611,0.857,0.0,0.028,0.002,0.009,3.605
IMG-833E2B96C5,R1,0.152,4.262,1.116,0.0,0.016,0.002,0.008,5.556
IMG-0BF441CFFD,R1,0.155,5.385,1.344,0.0,0.022,0.002,0.007,6.915
IMG-B58B195A92,R1,0.158,5.232,1.372,0.0,0.019,0.007,0.011,6.799
IMG-D41184EA72,R1,0.132,3.733,1.099,0.0,0.017,0.003,0.01,4.994
IMG-902274DA71,R1,0.157,5.708,1.371,0.0,0.018,0.003,0.01,7.268
IMG-C494A4152C,R1,0.101,2.895,0.884,0.0,0.036,0.003,0.013,3.931
IMG-E0F62AB36F,R1,0.108,2.489,1.338,0.0,0.053,0.002,0.009,4.0
IMG-7CA9BEBE72,R1,0.212,5.34,1.347,0.0,0.019,0.002,0.007,6.927
IMG-ABBB6E83CB,R1,0.127,4.875,1.125,0.0,0.014,0.002,0.011,6.153
IMG-8DA78E815D,R1,0.133,4.831,1.087,0.0,0.013,0.002,0.008,6.073
IMG-343B9B81CF,R1,0.151,5.638,1.509,0.0,0.017,0.001,0.007,7.323
IMG-221E334705,R1,0.161,4.934,1.462,0.0,0.017,0.002,0.007,6.584
IMG-4058D9DB94,R1,0.166,5.02,1.439,0.0,0.019,0.002,0.009,6.656
IMG-A13984FE9F,R1,0.214,6.297,1.378,0.0,0.017,0.001,0.008,7.917
IMG-01DD783D86,R1,0.065,1.699,2.014,0.0,0.086,0.003,0.009,3.876
IMG-8A3B5398AB,R1,0.222,5.797,1.381,0.0,0.017,0.002,0.008,7.426
IMG-BA39BCD54C,R1,0.148,5.813,1.344,0.0,0.024,0.005,0.009,7.344
IMG-B658BE7023,R1,0.141,5.444,1.32,0.0,0.02,0.002,0.01,6.938
IMG-F48A5C5E70,R1,0.159,6.591,1.47,0.0,0.028,0.003,0.008,8.259
IMG-ECE86CBFCB,R1,0.151,5.31,1.341,0.0,0.024,0.003,0.009,6.839
