feature,icc_A,n_A,n_missing_A_R1,reason
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.2699661441176814,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Energy,0.39616947351834547,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Entropy,0.6939066801019134,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.6729948956911792,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.488765927921765,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Maximum,0.5215899707635081,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.6208832941326944,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Mean,0.2223688779759542,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Median,0.3298031827250127,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Minimum,0.35570079470981064,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Range,0.42528927866352534,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.6443215386618111,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.5718682749053722,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Skewness,0.7258737042350635,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.3961694735183455,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.7288733925873399,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_firstorder_Variance,0.5015387380373247,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Autocorrelation,0.21343703326917332,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_ClusterProminence,0.30250589614747064,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_ClusterShade,0.20353126414216616,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_ClusterTendency,0.5458672071484548,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Contrast,0.4233556685548018,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Correlation,0.20826619691070533,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,0.6245299809884849,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,0.6809845753041215,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,0.3651497176367407,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Idmn,0.7095795100234312,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Idn,0.718521295626935,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Imc1,0.636554076284681,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_Imc2,0.6496403334114623,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_InverseVariance,0.7399413795085366,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_JointAverage,0.3371408957301032,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_JointEnergy,0.7112062090652432,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_JointEntropy,0.6938389219212617,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_MCC,0.45091638978655135,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_SumAverage,0.33714089573010303,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_SumEntropy,0.6896469770024946,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glcm_SumSquares,0.5209079035552222,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.7229058729701227,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.4954062560660511,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.21474463807748242,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.22169505634041398,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5266175147522824,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.5098592910322332,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.6109501836914375,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.663209610943192,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.21525013883698527,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.4980851580024646,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.6831329698055619,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6861786315093394,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.45334578290995153,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.21281908132167676,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.583710074266984,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.5948658054529136,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.5225827458783817,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3569978397939614,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.32929241470965837,22,0,ICC_A<=0.75
