feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.7989606850052774,22,0.17513550893065274,8,True,0,True
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.2699661441176814,22,0.5851957857653789,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Energy,0.39616947351834547,22,0.28363274051246423,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Entropy,0.6939066801019134,22,0.42719511637004265,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,0.6729948956911792,22,0.4464286909568912,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.488765927921765,22,0.37183960263190075,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Maximum,0.5215899707635081,22,0.24194498137285947,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.6208832941326944,22,0.3507298372166929,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Mean,0.2223688779759542,22,0.5279198016125833,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Median,0.3298031827250127,22,0.6205825854423868,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Minimum,0.35570079470981064,22,0.21903821603672266,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Range,0.42528927866352534,22,0.25391405533260225,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.6443215386618111,22,0.41887249607550897,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,0.5718682749053722,22,0.46274773892279847,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Skewness,0.7258737042350635,22,0.8390264035337519,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,0.3961694735183455,22,0.2836327405124646,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.7288733925873399,22,0.5487741086481488,8,False,0,False
log-sigma-1-0-mm-3D_firstorder_Variance,0.5015387380373247,22,0.22144669389606053,8,False,0,False
