feature,icc_A,n_A,n_missing_A_R1,reason
original_shape_Elongation,0.4689547866374632,22,0,ICC_A<=0.75
original_shape_Flatness,0.6164846939503607,22,0,ICC_A<=0.75
original_shape_Maximum2DDiameterRow,0.7361909442434235,22,0,ICC_A<=0.75
original_shape_Maximum2DDiameterSlice,0.6490171098803964,22,0,ICC_A<=0.75
original_shape_Maximum3DDiameter,0.7351858894546601,22,0,ICC_A<=0.75
original_shape_MeshVolume,0.7276336470154947,22,0,ICC_A<=0.75
original_shape_MinorAxisLength,0.6658781123848779,22,0,ICC_A<=0.75
original_shape_Sphericity,0.5100073449241029,22,0,ICC_A<=0.75
original_shape_SurfaceArea,0.7435556323002962,22,0,ICC_A<=0.75
original_shape_SurfaceVolumeRatio,0.4968251817341963,22,0,ICC_A<=0.75
original_shape_VoxelVolume,0.7279763517296081,22,0,ICC_A<=0.75
original_firstorder_Energy,0.5717254780916606,22,0,ICC_A<=0.75
original_firstorder_Kurtosis,0.2939458926541809,22,0,ICC_A<=0.75
original_firstorder_Maximum,0.5995798039667397,22,0,ICC_A<=0.75
original_firstorder_Minimum,0.3361097968667187,22,0,ICC_A<=0.75
original_firstorder_Range,0.5463242986068579,22,0,ICC_A<=0.75
original_firstorder_Skewness,0.5239920533324286,22,0,ICC_A<=0.75
original_firstorder_TotalEnergy,0.5717254780916601,22,0,ICC_A<=0.75
original_firstorder_Variance,0.6935973370868245,22,0,ICC_A<=0.75
original_glcm_Autocorrelation,0.6819085967263695,22,0,ICC_A<=0.75
original_glcm_ClusterProminence,0.42730092843408735,22,0,ICC_A<=0.75
original_glcm_ClusterShade,0.4021261114277205,22,0,ICC_A<=0.75
original_glcm_ClusterTendency,0.7138727205019619,22,0,ICC_A<=0.75
original_glcm_Contrast,0.6359735892613629,22,0,ICC_A<=0.75
original_glcm_DifferenceAverage,0.7466009292046892,22,0,ICC_A<=0.75
original_glcm_DifferenceEntropy,0.7382657208318382,22,0,ICC_A<=0.75
original_glcm_DifferenceVariance,0.580222566654599,22,0,ICC_A<=0.75
original_glcm_Idmn,0.6168368027576303,22,0,ICC_A<=0.75
original_glcm_Idn,0.6273577094914099,22,0,ICC_A<=0.75
original_glcm_InverseVariance,0.7467656344091725,22,0,ICC_A<=0.75
original_glcm_SumSquares,0.7033985261986655,22,0,ICC_A<=0.75
original_glrlm_GrayLevelVariance,0.6835411876227668,22,0,ICC_A<=0.75
original_glrlm_HighGrayLevelRunEmphasis,0.6619933528131207,22,0,ICC_A<=0.75
original_glrlm_LongRunHighGrayLevelEmphasis,0.6513217474738212,22,0,ICC_A<=0.75
original_glrlm_RunEntropy,0.7293228792890132,22,0,ICC_A<=0.75
original_glrlm_RunLengthNonUniformity,0.6521932076015413,22,0,ICC_A<=0.75
original_glrlm_ShortRunHighGrayLevelEmphasis,0.6600550654869286,22,0,ICC_A<=0.75
original_glszm_GrayLevelNonUniformity,0.6601115508813232,22,0,ICC_A<=0.75
original_glszm_GrayLevelNonUniformityNormalized,0.7073821908310003,22,0,ICC_A<=0.75
original_glszm_GrayLevelVariance,0.5448113274438693,22,0,ICC_A<=0.75
original_glszm_HighGrayLevelZoneEmphasis,0.5496466111756464,22,0,ICC_A<=0.75
original_glszm_LowGrayLevelZoneEmphasis,0.44642112032199044,22,0,ICC_A<=0.75
original_glszm_SizeZoneNonUniformity,0.5472640392263344,22,0,ICC_A<=0.75
original_glszm_SizeZoneNonUniformityNormalized,0.7202554666312472,22,0,ICC_A<=0.75
original_glszm_SmallAreaEmphasis,0.7181373086106456,22,0,ICC_A<=0.75
original_glszm_SmallAreaHighGrayLevelEmphasis,0.5315464575361529,22,0,ICC_A<=0.75
original_glszm_SmallAreaLowGrayLevelEmphasis,0.4804356339500233,22,0,ICC_A<=0.75
original_gldm_DependenceEntropy,0.7436467299010768,22,0,ICC_A<=0.75
original_gldm_DependenceNonUniformity,0.6187079371957765,22,0,ICC_A<=0.75
original_gldm_GrayLevelVariance,0.693177655550058,22,0,ICC_A<=0.75
original_gldm_HighGrayLevelEmphasis,0.6689452483953112,22,0,ICC_A<=0.75
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.6668761154467708,22,0,ICC_A<=0.75
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.6161975387762735,22,0,ICC_A<=0.75
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.4175804164199522,22,0,ICC_A<=0.75
original_ngtdm_Busyness,0.7246544757916977,22,0,ICC_A<=0.75
original_ngtdm_Coarseness,0.6821994663911454,22,0,ICC_A<=0.75
original_ngtdm_Complexity,0.4448569958101184,22,0,ICC_A<=0.75
original_ngtdm_Strength,0.6420893361869268,22,0,ICC_A<=0.75
