feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
original_shape_Elongation,0.4689547866374632,22,0.5738864996852152,8,False,0,False
original_shape_Flatness,0.6164846939503607,22,0.6148435803984232,8,False,0,False
original_shape_LeastAxisLength,0.7666994131226085,22,0.8118146024205378,8,True,0,True
original_shape_MajorAxisLength,0.763893924011041,22,0.5697862559124197,8,True,0,True
original_shape_Maximum2DDiameterColumn,0.8171174796830222,22,0.4773879265459173,8,True,0,True
original_shape_Maximum2DDiameterRow,0.7361909442434235,22,0.3607357215725509,8,False,0,False
original_shape_Maximum2DDiameterSlice,0.6490171098803964,22,0.5852050439216012,8,False,0,False
original_shape_Maximum3DDiameter,0.7351858894546601,22,0.41764856156734387,8,False,0,False
original_shape_MeshVolume,0.7276336470154947,22,0.5641616353792328,8,False,0,False
original_shape_MinorAxisLength,0.6658781123848779,22,0.6521972274917414,8,False,0,False
original_shape_Sphericity,0.5100073449241029,22,0.764270329765584,8,False,0,False
original_shape_SurfaceArea,0.7435556323002962,22,0.7226857197978283,8,False,0,False
original_shape_SurfaceVolumeRatio,0.4968251817341963,22,0.11105134467485078,8,False,0,False
original_shape_VoxelVolume,0.7279763517296081,22,0.5653591439073548,8,False,0,False
original_firstorder_10Percentile,0.8717746937523194,22,0.47593822975157013,8,True,0,True
original_firstorder_90Percentile,0.8675589104025321,22,0.5993910369706206,8,True,0,True
original_firstorder_Energy,0.5717254780916606,22,0.6698111507903063,8,False,0,False
original_firstorder_Entropy,0.7883239601258832,22,0.5149634091447854,8,True,0,True
original_firstorder_InterquartileRange,0.8052967912077125,22,0.6945297825314201,8,True,0,True
original_firstorder_Kurtosis,0.2939458926541809,22,0.3531137415294629,8,False,0,False
original_firstorder_Maximum,0.5995798039667397,22,0.3369701590043658,8,False,0,False
original_firstorder_MeanAbsoluteDeviation,0.7852517038822185,22,0.5282631071792158,8,True,0,True
original_firstorder_Mean,0.8996284373577977,22,0.5353361770193446,8,True,0,True
original_firstorder_Median,0.9107287818664895,22,0.5174275220670463,8,True,0,True
