feature,icc_A,n_A,n_missing_A_R1,reason
wavelet-LLH_firstorder_10Percentile,0.6712963011050175,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_90Percentile,0.5297951605671226,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Energy,0.45778506504032884,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Entropy,0.7068344596314412,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_InterquartileRange,0.672923538084232,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Maximum,0.7430479844777954,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6205954123292727,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Mean,0.6841434971999797,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Median,0.6307173140274606,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Minimum,0.649750943427427,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Range,0.6801277171469972,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6570446355582136,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_RootMeanSquared,0.6659975433996705,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_TotalEnergy,0.45778506504032895,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Uniformity,0.6998262384748515,22,0,ICC_A<=0.75
wavelet-LLH_firstorder_Variance,0.4685701598332149,22,0,ICC_A<=0.75
wavelet-LLH_glcm_Autocorrelation,0.498843757547876,22,0,ICC_A<=0.75
wavelet-LLH_glcm_ClusterProminence,0.4279012330366746,22,0,ICC_A<=0.75
wavelet-LLH_glcm_ClusterTendency,0.5026112268769373,22,0,ICC_A<=0.75
wavelet-LLH_glcm_Contrast,0.3276972661708596,22,0,ICC_A<=0.75
wavelet-LLH_glcm_Correlation,0.73645820425538,22,0,ICC_A<=0.75
wavelet-LLH_glcm_DifferenceAverage,0.5153354082122642,22,0,ICC_A<=0.75
wavelet-LLH_glcm_DifferenceEntropy,0.6598023386893449,22,0,ICC_A<=0.75
wavelet-LLH_glcm_DifferenceVariance,0.48062450697402803,22,0,ICC_A<=0.75
wavelet-LLH_glcm_Id,0.7354979155459086,22,0,ICC_A<=0.75
wavelet-LLH_glcm_Idm,0.7431788397513612,22,0,ICC_A<=0.75
wavelet-LLH_glcm_JointAverage,0.6514013360210565,22,0,ICC_A<=0.75
wavelet-LLH_glcm_JointEnergy,0.6494233648831507,22,0,ICC_A<=0.75
wavelet-LLH_glcm_JointEntropy,0.7164955433268639,22,0,ICC_A<=0.75
wavelet-LLH_glcm_MaximumProbability,0.7400787781407514,22,0,ICC_A<=0.75
wavelet-LLH_glcm_SumAverage,0.6514013360210569,22,0,ICC_A<=0.75
wavelet-LLH_glcm_SumEntropy,0.7468553566417151,22,0,ICC_A<=0.75
wavelet-LLH_glcm_SumSquares,0.42544532338710506,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.6893920913841833,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_GrayLevelVariance,0.49401142794757197,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.49279033290149177,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_LongRunEmphasis,0.7219666703462896,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.6409942186290596,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.4077416391338906,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.4372303159903419,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_RunEntropy,0.6842420982256731,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6575363543346792,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_RunVariance,0.7354468557135427,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_ShortRunEmphasis,0.7422802222618504,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.45841935674795736,22,0,ICC_A<=0.75
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.4471958607552669,22,0,ICC_A<=0.75
wavelet-LLH_glszm_GrayLevelNonUniformity,0.6450894947408746,22,0,ICC_A<=0.75
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.6127275539027591,22,0,ICC_A<=0.75
wavelet-LLH_glszm_GrayLevelVariance,0.6853114314331642,22,0,ICC_A<=0.75
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.48063073574516874,22,0,ICC_A<=0.75
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5504256914986128,22,0,ICC_A<=0.75
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.39273994808781604,22,0,ICC_A<=0.75
wavelet-LLH_glszm_SizeZoneNonUniformity,0.5235888378765677,22,0,ICC_A<=0.75
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.3281138353448721,22,0,ICC_A<=0.75
wavelet-LLH_glszm_SmallAreaEmphasis,0.3403840262943934,22,0,ICC_A<=0.75
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.37140028512922213,22,0,ICC_A<=0.75
