feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
wavelet-LLH_firstorder_10Percentile,0.6712963011050175,22,0.09661082557337401,8,False,0,False
wavelet-LLH_firstorder_90Percentile,0.5297951605671226,22,0.29877833873916954,8,False,0,False
wavelet-LLH_firstorder_Energy,0.45778506504032884,22,-0.027078517361546133,8,False,0,False
wavelet-LLH_firstorder_Entropy,0.7068344596314412,22,0.27079151637472887,8,False,0,False
wavelet-LLH_firstorder_InterquartileRange,0.672923538084232,22,0.24434357803459544,8,False,0,False
wavelet-LLH_firstorder_Kurtosis,0.9395111262066055,22,0.8900560021367165,8,True,0,True
wavelet-LLH_firstorder_Maximum,0.7430479844777954,22,0.03662467492290775,8,False,0,False
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.6205954123292727,22,0.179094800170839,8,False,0,False
wavelet-LLH_firstorder_Mean,0.6841434971999797,22,0.5203218376075863,8,False,0,False
wavelet-LLH_firstorder_Median,0.6307173140274606,22,0.5121793012296879,8,False,0,False
wavelet-LLH_firstorder_Minimum,0.649750943427427,22,0.1291031344388191,8,False,0,False
wavelet-LLH_firstorder_Range,0.6801277171469972,22,0.04952790722421633,8,False,0,False
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.6570446355582136,22,0.22253826246770636,8,False,0,False
wavelet-LLH_firstorder_RootMeanSquared,0.6659975433996705,22,0.17808928171511929,8,False,0,False
wavelet-LLH_firstorder_Skewness,0.8449524055805882,22,0.9011390931485193,8,True,0,True
wavelet-LLH_firstorder_TotalEnergy,0.45778506504032895,22,-0.027078517361546296,8,False,0,False
wavelet-LLH_firstorder_Uniformity,0.6998262384748515,22,0.3741208284593833,8,False,0,False
wavelet-LLH_firstorder_Variance,0.4685701598332149,22,0.07098840491566408,8,False,0,False
wavelet-LLH_glcm_Autocorrelation,0.498843757547876,22,0.042337721715229155,8,False,0,False
wavelet-LLH_glcm_ClusterProminence,0.4279012330366746,22,0.028346338111101498,8,False,0,False
wavelet-LLH_glcm_ClusterShade,0.8156895945367625,22,0.6903880334682062,8,True,0,True
wavelet-LLH_glcm_ClusterTendency,0.5026112268769373,22,0.07804906648613702,8,False,0,False
wavelet-LLH_glcm_Contrast,0.3276972661708596,22,0.061139095590612945,8,False,0,False
wavelet-LLH_glcm_Correlation,0.73645820425538,22,0.15647991110554615,8,False,0,False
wavelet-LLH_glcm_DifferenceAverage,0.5153354082122642,22,0.1568435024000243,8,False,0,False
wavelet-LLH_glcm_DifferenceEntropy,0.6598023386893449,22,0.21039434342361582,8,False,0,False
wavelet-LLH_glcm_DifferenceVariance,0.48062450697402803,22,0.03474638312027795,8,False,0,False
wavelet-LLH_glcm_Id,0.7354979155459086,22,0.24697890429438657,8,False,0,False
wavelet-LLH_glcm_Idm,0.7431788397513612,22,0.25344439458210466,8,False,0,False
wavelet-LLH_glcm_Idmn,0.8989070876070117,22,0.3909381255924766,8,True,0,True
wavelet-LLH_glcm_Idn,0.9379602177218405,22,0.5736491211611539,8,True,0,True
wavelet-LLH_glcm_Imc1,0.9238501795719508,22,-0.09259128569573659,8,True,0,True
wavelet-LLH_glcm_Imc2,0.8362064292158835,22,0.14585640894183452,8,True,0,True
wavelet-LLH_glcm_InverseVariance,0.7535568648288781,22,0.22118716773916733,8,True,0,True
wavelet-LLH_glcm_JointAverage,0.6514013360210565,22,0.14468122263813427,8,False,0,False
wavelet-LLH_glcm_JointEnergy,0.6494233648831507,22,0.3535663591673951,8,False,0,False
wavelet-LLH_glcm_JointEntropy,0.7164955433268639,22,0.25943322022526366,8,False,0,False
wavelet-LLH_glcm_MCC,0.808356775158739,22,0.2764929878668926,8,True,0,True
wavelet-LLH_glcm_MaximumProbability,0.7400787781407514,22,0.2866009429703168,8,False,0,False
wavelet-LLH_glcm_SumAverage,0.6514013360210569,22,0.14468122263813474,8,False,0,False
wavelet-LLH_glcm_SumEntropy,0.7468553566417151,22,0.30927183369944494,8,False,0,False
wavelet-LLH_glcm_SumSquares,0.42544532338710506,22,0.063800877750197,8,False,0,False
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.838722396243026,22,0.6651113011939382,8,True,0,True
wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.6893920913841833,22,0.3527230884546121,8,False,0,False
wavelet-LLH_glrlm_GrayLevelVariance,0.49401142794757197,22,0.06465770433128445,8,False,0,False
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.49279033290149177,22,0.037641180465285175,8,False,0,False
wavelet-LLH_glrlm_LongRunEmphasis,0.7219666703462896,22,0.3949263430274529,8,False,0,False
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.6409942186290596,22,0.19878951974407202,8,False,0,False
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.4077416391338906,22,0.5278796252228849,8,False,0,False
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.4372303159903419,22,0.3480577993399769,8,False,0,False
wavelet-LLH_glrlm_RunEntropy,0.6842420982256731,22,0.008926792554118306,8,False,0,False
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6575363543346792,22,0.3845436374278415,8,False,0,False
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.7637266445726403,22,0.45780208294461416,8,True,0,True
wavelet-LLH_glrlm_RunPercentage,0.7705488486194684,22,0.4370454299045208,8,True,0,True
wavelet-LLH_glrlm_RunVariance,0.7354468557135427,22,0.35917588568367337,8,False,0,False
