影像号,reader,structural_state,status,failure_class,failure_reason,diagnostics_Configuration_EnabledImageTypes,diagnostics_Configuration_Settings,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Hash,diagnostics_Image-original_Maximum,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Size,diagnostics_Image-original_Spacing,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_CenterOfMass,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Size,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_VoxelNum,diagnostics_Versions_Numpy,diagnostics_Versions_PyRadiomics,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Versions_SimpleITK
IMG-5B9E750116,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,f438dedc5214883dfc8245970dcd85104591fef6,10.143064498901367,3.9749327996413952,0.0,"(46, 42, 37)","(1.0, 0.9999999999999999, 2.0)","(8, 8, 8, 33, 29, 25)","(1.8499014793823854, 46.12189725949173, -0.9549083009832984)","(23.68389724310777, 25.576441102756892, 22.591791979949875)",2ef76f86e181932d5fc5d03a51fe4dc93927c07d,"(46, 42, 37)","(1.0, 0.9999999999999999, 2.0)",10.0,3192.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-81E9925726,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,b3e22168d518d87571b767e5bfa77047b635d69d,9.184597969055176,4.018375494566389,-0.18321682512760162,"(51, 39, 29)","(1.0, 1.0, 2.0)","(5, 6, 5, 41, 28, 19)","(-0.7616999093846246, 40.17884241622056, -22.19515362318842)","(24.59981884057971, 18.25960144927536, 14.666123188405797)",9c94993daec94d0820aa764e8eeda6d6235fde43,"(51, 39, 29)","(1.0, 1.0, 2.0)",8.0,5520.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-FE253BFCC1,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,84cc84a3b9921e9d3f7ba1f7cab77227d8179921,8.871962547302246,2.5730963248906207,-0.1889222115278244,"(60, 60, 34)","(1.0, 0.9999999999999999, 2.0)","(5, 11, 1, 46, 41, 29)","(-4.320937963439782, 23.454448588827624, -28.20394801495989)","(26.564928595151112, 28.06326801727001, 17.053470607771505)",5804dac64a52124b3d73f915ef780627bdddd4ff,"(60, 60, 34)","(1.0, 0.9999999999999999, 2.0)",17.0,6022.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-7F272E52C4,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,7feaf53bc18206e699c75c924628d285ccb2d857,9.328042030334473,3.0965735170436677,0.12302451580762863,"(41, 50, 26)","(1.0, 0.9999999999999998, 2.0)","(6, 6, 5, 25, 36, 16)","(-4.226940426224356, 49.179432316454296, -9.806061321704806)","(17.87254454088625, 23.482412060301506, 12.948378254910919)",e054da83386f301f1e792abed0bc0524806c1c9f,"(41, 50, 26)","(1.0, 0.9999999999999998, 2.0)",5.0,2189.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-8EEA8E66A1,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,bdbd434b8cd3085993629c6e5fed91ce5a9eb901,8.043192863464355,2.912813590005153,0.20551598072052002,"(41, 40, 29)","(1.0, 1.0, 2.0)","(17, 12, 18, 16, 17, 6)","(1.75442786885246, 62.495819672131155, 69.17415409836066)","(23.18032786885246, 19.950819672131146, 19.557377049180328)",aebae5713f95729c03142a2de2a037a9e50faf16,"(41, 40, 29)","(1.0, 1.0, 2.0)",4.0,61.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-2586B3625A,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,b0df429c32886b17f2403790382cccee4e8a7ca8,10.912834167480469,2.803201285192245,0.15896141529083252,"(40, 39, 28)","(1.0, 1.0, 1.9999999999999998)","(5, 5, 5, 30, 29, 18)","(2.6939338164251545, 35.64329033816425, -44.83170531400967)","(19.499033816425122, 17.435990338164252, 14.53864734299517)",710400fa7013a0030d53ca6646214965cf67ab7c,"(40, 39, 28)","(1.0, 1.0, 1.9999999999999998)",3.0,4140.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-9E2C4ABE0B,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,dab10ed04a177682575258d1b65eb36e34607eb4,8.41828441619873,3.0871089199512642,0.12249957770109177,"(64, 59, 32)","(0.9999999999999999, 0.9999999999999999, 2.0)","(7, 21, 6, 33, 17, 22)","(-9.82688816744416, 38.23301975023458, 25.469452549107167)","(29.596491228070175, 32.92982456140351, 15.236842105263158)",0d00fcce9a9739d0dabe727eed2b70ee55098589,"(64, 59, 32)","(0.9999999999999999, 0.9999999999999999, 2.0)",8.0,114.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-56F78D7F71,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,ba9c8cc19c5b34a4786b142381252eb5d5c6b591,10.313605308532715,2.9181992082269685,-0.030791638419032097,"(73, 94, 54)","(1.0, 1.0, 1.9999999999999998)","(5, 7, 5, 62, 81, 42)","(-2.7888133367529946, 43.16140520646321, -18.14211051551682)","(34.54798666324699, 59.190305206463194, 22.0294947422416)",9a6d33e83d75468a8e0693f45383d3fdbed605fa,"(73, 94, 54)","(1.0, 1.0, 1.9999999999999998)",53.0,19495.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-03F1BA49E0,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,2eccc2a285d27c5f6d02e5645f5fe06b2b56e723,14.34756851196289,3.619021843052121,0.013464725576341152,"(49, 62, 31)","(0.9999999999999999, 0.9999999999999999, 2.0)","(5, 5, 1, 38, 52, 25)","(0.29262511066708896, 30.292928588268776, 8.001591380100315)","(22.87395927788311, 31.85079548264776, 13.353392135850301)",216bd934194768f2cccd63267b15aae905e39a1b,"(49, 62, 31)","(0.9999999999999999, 0.9999999999999999, 2.0)",3.0,12131.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-2F73457616,R1,single-H-low,structurally_undefined,structural_absence,structural_absence,,,,,,,,,,,,,,,,,,,,,,
