影像号,reader,structural_state,status,failure_class,failure_reason,diagnostics_Configuration_EnabledImageTypes,diagnostics_Configuration_Settings,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Hash,diagnostics_Image-original_Maximum,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Size,diagnostics_Image-original_Spacing,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_CenterOfMass,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Size,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_VoxelNum,diagnostics_Versions_Numpy,diagnostics_Versions_PyRadiomics,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Versions_SimpleITK
IMG-5B9E750116,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,f438dedc5214883dfc8245970dcd85104591fef6,10.143064498901367,3.9749327996413952,0.0,"(46, 42, 37)","(1.0, 0.9999999999999999, 2.0)","(5, 5, 3, 36, 31, 28)","(0.3260757483521992, 31.968993140360894, -12.850012973318439)","(22.184964960713526, 17.104693140794225, 14.374389466978126)",883ae37aebb1d80cabd7a80e1ec83f924df8e911,"(46, 42, 37)","(1.0, 0.9999999999999999, 2.0)",2.0,4709.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-81E9925726,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,b3e22168d518d87571b767e5bfa77047b635d69d,9.184597969055176,4.018375494566389,-0.18321682512760162,"(51, 39, 29)","(1.0, 1.0, 2.0)","(5, 5, 5, 41, 22, 19)","(3.796777237601898, 37.55009172470565, -25.946163326226028)","(29.211513859275055, 15.725373134328358, 12.790618336886993)",7574edc57b1ec5e46afd421f8fc74b1c9e011a62,"(51, 39, 29)","(1.0, 1.0, 2.0)",4.0,2345.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-FE253BFCC1,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,84cc84a3b9921e9d3f7ba1f7cab77227d8179921,8.871962547302246,2.5730963248906207,-0.1889222115278244,"(60, 60, 34)","(1.0, 0.9999999999999999, 2.0)","(7, 5, 1, 48, 50, 32)","(0.6480425243709718, 25.741783002383798, -30.029888476388948)","(31.567462181715683, 28.570985624354037, 15.641595414826647)",d3dd66950b638b0462e1b126013c0106d8a6e2a2,"(60, 60, 34)","(1.0, 0.9999999999999999, 2.0)",1.0,21286.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-7F272E52C4,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,7feaf53bc18206e699c75c924628d285ccb2d857,9.328042030334473,3.0965735170436677,0.12302451580762863,"(41, 50, 26)","(1.0, 0.9999999999999998, 2.0)","(5, 5, 5, 31, 40, 16)","(-0.7175192071540515, 50.981565813265306, -10.855150222700171)","(21.44923932124049, 25.411644236395553, 12.754973668812172)",96cfd9f3301c61d077ac6565f712219afe59272e,"(41, 50, 26)","(1.0, 0.9999999999999998, 2.0)",1.0,6836.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-8EEA8E66A1,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,bdbd434b8cd3085993629c6e5fed91ce5a9eb901,8.043192863464355,2.912813590005153,0.20551598072052002,"(41, 40, 29)","(1.0, 1.0, 2.0)","(5, 5, 5, 31, 30, 19)","(-1.0030384437150026, 63.01767812318981, 60.594638463023756)","(20.422861556284996, 20.472678123189805, 15.267619231511874)",c5a5c5b7da7bd3b38caefebd6cf0c5e114530fd4,"(41, 40, 29)","(1.0, 1.0, 2.0)",1.0,5179.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-2586B3625A,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,b0df429c32886b17f2403790382cccee4e8a7ca8,10.912834167480469,2.803201285192245,0.15896141529083252,"(40, 39, 28)","(1.0, 1.0, 1.9999999999999998)","(5, 5, 5, 30, 27, 18)","(3.0137632104934724, 33.324726608369765, -54.220055590256095)","(19.81886321049344, 15.117426608369769, 9.844472204871956)",0afe77cb4c43c0e04141d0b16a4e8a6c7922d483,"(40, 39, 28)","(1.0, 1.0, 1.9999999999999998)",8.0,1601.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-9E2C4ABE0B,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,dab10ed04a177682575258d1b65eb36e34607eb4,8.41828441619873,3.0871089199512642,0.12249957770109177,"(64, 59, 32)","(0.9999999999999999, 0.9999999999999999, 2.0)","(7, 13, 5, 46, 33, 25)","(-9.971754654870026, 33.47692518906973, 29.498319729543034)","(29.445435827041866, 29.405628002745367, 17.807366735300846)",640c935f65c08959f15aa9a28a99a73cae588255,"(64, 59, 32)","(0.9999999999999999, 0.9999999999999999, 2.0)",1.0,8742.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-56F78D7F71,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,ba9c8cc19c5b34a4786b142381252eb5d5c6b591,10.313605308532715,2.9181992082269685,-0.030791638419032097,"(73, 94, 54)","(1.0, 1.0, 1.9999999999999998)","(5, 5, 5, 63, 84, 44)","(-1.531913336519068, 28.71164143898944, -2.8002980220648013)","(35.804886663480914, 44.740541438989425, 29.70040098896761)",46e705be4c020027bdf8c12cd3d41318a839cffe,"(73, 94, 54)","(1.0, 1.0, 1.9999999999999998)",6.0,48131.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-03F1BA49E0,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,2eccc2a285d27c5f6d02e5645f5fe06b2b56e723,14.34756851196289,3.619021843052121,0.013464725576341152,"(49, 62, 31)","(0.9999999999999999, 0.9999999999999999, 2.0)","(5, 12, 1, 39, 45, 25)","(3.7614324314103236, 28.22461492582978, 14.133744262336599)","(26.294299602297833, 31.922227132125496, 16.601855943437915)",dc663d6780b60ecf5a5357ca87ec75f5f25c5589,"(49, 62, 31)","(0.9999999999999999, 0.9999999999999999, 2.0)",23.0,2263.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-2F73457616,R1,single-H-low,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,beb64e29ad428e14c6e9b994bdaff74c01d1f317,6.74788236618042,1.69307551550346,-0.09026974439620972,"(51, 65, 33)","(0.9999999999999999, 1.0, 1.9999999999999998)","(5, 5, 3, 41, 55, 25)","(-2.493321320227068, 38.037769032026276, 72.63233135300868)","(27.379900526623757, 27.90579286132241, 15.3734640140433)",a4f7344c4f7ac900dbfd96d7cdce8f3d8b296169,"(51, 65, 33)","(0.9999999999999999, 1.0, 1.9999999999999998)",1.0,6836.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
