metric,value
target_cases,393
completed_case_records,393
dual_habitat_cases,368
single_H_low_cases,24
single_H_high_cases,1
input_technical_failure_cases,0
R_low_structural_absence_cases,1
R_high_structural_absence_cases,24
R_low_extractable_cases,391
R_high_extractable_cases,356
R_low_technical_failure_cases,1
R_high_technical_failure_cases,13
case_any_technical_failure_cases,14
R_low_feature_count,107
R_high_feature_count,107
R_low_diagnostic_count,22
R_high_diagnostic_count,22
elapsed_seconds,124.516
outcome_columns_read,False
clinical_data_read,False
B_data_read,False
