影像号,reader,input_status,pipeline_status,structural_state,habitat_present,extractable,status,failure_class,failure_reason,R_high__original_firstorder_10Percentile,R_high__original_firstorder_90Percentile,R_high__original_firstorder_Energy,R_high__original_firstorder_Entropy,R_high__original_firstorder_InterquartileRange,R_high__original_firstorder_Kurtosis,R_high__original_firstorder_Maximum,R_high__original_firstorder_Mean,R_high__original_firstorder_MeanAbsoluteDeviation,R_high__original_firstorder_Median,R_high__original_firstorder_Minimum,R_high__original_firstorder_Range,R_high__original_firstorder_RobustMeanAbsoluteDeviation,R_high__original_firstorder_RootMeanSquared,R_high__original_firstorder_Skewness,R_high__original_firstorder_TotalEnergy,R_high__original_firstorder_Uniformity,R_high__original_firstorder_Variance,R_high__original_glcm_Autocorrelation,R_high__original_glcm_ClusterProminence,R_high__original_glcm_ClusterShade,R_high__original_glcm_ClusterTendency,R_high__original_glcm_Contrast,R_high__original_glcm_Correlation,R_high__original_glcm_DifferenceAverage,R_high__original_glcm_DifferenceEntropy,R_high__original_glcm_DifferenceVariance,R_high__original_glcm_Id,R_high__original_glcm_Idm,R_high__original_glcm_Idmn,R_high__original_glcm_Idn,R_high__original_glcm_Imc1,R_high__original_glcm_Imc2,R_high__original_glcm_InverseVariance,R_high__original_glcm_JointAverage,R_high__original_glcm_JointEnergy,R_high__original_glcm_JointEntropy,R_high__original_glcm_MCC,R_high__original_glcm_MaximumProbability,R_high__original_glcm_SumAverage,R_high__original_glcm_SumEntropy,R_high__original_glcm_SumSquares,R_high__original_gldm_DependenceEntropy,R_high__original_gldm_DependenceNonUniformity,R_high__original_gldm_DependenceNonUniformityNormalized,R_high__original_gldm_DependenceVariance,R_high__original_gldm_GrayLevelNonUniformity,R_high__original_gldm_GrayLevelVariance,R_high__original_gldm_HighGrayLevelEmphasis,R_high__original_gldm_LargeDependenceEmphasis,R_high__original_gldm_LargeDependenceHighGrayLevelEmphasis,R_high__original_gldm_LargeDependenceLowGrayLevelEmphasis,R_high__original_gldm_LowGrayLevelEmphasis,R_high__original_gldm_SmallDependenceEmphasis,R_high__original_gldm_SmallDependenceHighGrayLevelEmphasis,R_high__original_gldm_SmallDependenceLowGrayLevelEmphasis,R_high__original_glrlm_GrayLevelNonUniformity,R_high__original_glrlm_GrayLevelNonUniformityNormalized,R_high__original_glrlm_GrayLevelVariance,R_high__original_glrlm_HighGrayLevelRunEmphasis,R_high__original_glrlm_LongRunEmphasis,R_high__original_glrlm_LongRunHighGrayLevelEmphasis,R_high__original_glrlm_LongRunLowGrayLevelEmphasis,R_high__original_glrlm_LowGrayLevelRunEmphasis,R_high__original_glrlm_RunEntropy,R_high__original_glrlm_RunLengthNonUniformity,R_high__original_glrlm_RunLengthNonUniformityNormalized,R_high__original_glrlm_RunPercentage,R_high__original_glrlm_RunVariance,R_high__original_glrlm_ShortRunEmphasis,R_high__original_glrlm_ShortRunHighGrayLevelEmphasis,R_high__original_glrlm_ShortRunLowGrayLevelEmphasis,R_high__original_glszm_GrayLevelNonUniformity,R_high__original_glszm_GrayLevelNonUniformityNormalized,R_high__original_glszm_GrayLevelVariance,R_high__original_glszm_HighGrayLevelZoneEmphasis,R_high__original_glszm_LargeAreaEmphasis,R_high__original_glszm_LargeAreaHighGrayLevelEmphasis,R_high__original_glszm_LargeAreaLowGrayLevelEmphasis,R_high__original_glszm_LowGrayLevelZoneEmphasis,R_high__original_glszm_SizeZoneNonUniformity,R_high__original_glszm_SizeZoneNonUniformityNormalized,R_high__original_glszm_SmallAreaEmphasis,R_high__original_glszm_SmallAreaHighGrayLevelEmphasis,R_high__original_glszm_SmallAreaLowGrayLevelEmphasis,R_high__original_glszm_ZoneEntropy,R_high__original_glszm_ZonePercentage,R_high__original_glszm_ZoneVariance,R_high__original_ngtdm_Busyness,R_high__original_ngtdm_Coarseness,R_high__original_ngtdm_Complexity,R_high__original_ngtdm_Contrast,R_high__original_ngtdm_Strength,R_high__original_shape_Elongation,R_high__original_shape_Flatness,R_high__original_shape_LeastAxisLength,R_high__original_shape_MajorAxisLength,R_high__original_shape_Maximum2DDiameterColumn,R_high__original_shape_Maximum2DDiameterRow,R_high__original_shape_Maximum2DDiameterSlice,R_high__original_shape_Maximum3DDiameter,R_high__original_shape_MeshVolume,R_high__original_shape_MinorAxisLength,R_high__original_shape_Sphericity,R_high__original_shape_SurfaceArea,R_high__original_shape_SurfaceVolumeRatio,R_high__original_shape_VoxelVolume
IMG-5B9E750116,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-81E9925726,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-FE253BFCC1,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-7F272E52C4,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-8EEA8E66A1,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-2586B3625A,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-9E2C4ABE0B,R2,available,success,dual-habitat,1.0,1,extractable,none,,2.365779399871826,4.061884641647339,12922.398260128617,3.4686474798089058,0.8160597681999207,4.054757880202298,6.279998779296875,3.1319840256670477,0.5317287100112885,3.0389926433563232,0.7372918725013733,5.542706906795502,0.35117917732169457,3.2075744179362724,0.5969892578455047,25844.796520257227,0.11202406791350562,0.47920970956565173,124.25525275226002,1227.1882169821047,49.25649018547286,17.17074298041809,10.733431697188506,0.2282514058133979,2.4533170573317733,2.8259858322475804,4.619460334411614,0.4191157291544133,0.3412027217057535,0.9826467423802517,0.9128240085932209,-0.08861679350584252,0.6672309767018376,0.3505454076325633,11.07409037587392,0.01737658872615538,6.41273081162843,0.46194081060095715,0.04459573019126358,22.148180751747848,3.9709779131198983,6.976043669401649,5.573922880532035,303.359872611465,0.2415285609963893,2.073367580834922,140.70222929936307,7.885902445332469,130.4498407643312,7.8471337579617835,919.0055732484077,0.07734722590092845,0.010899863297259869,0.42982166327252774,61.43993332683391,0.005361923733309618,130.37216760024154,0.1096868046437911,8.108481509890767,131.21186496228557,1.1860230862975827,152.977450325634,0.012779313596969776,0.010968120734698173,3.7835681873165776,1071.517175332307,0.900314070764654,0.9460436060754535,0.06546203008925758,0.9595789610388342,126.45528856696623,0.01057567187227645,57.068006182380216,0.08820402810259693,10.931169659515202,140.4404945904173,7.9629057187017,937.9304482225657,0.07915849012638779,0.012032443586193282,285.7078825347759,0.4415886901619411,0.6905724971035052,101.48312388200931,0.009015242796609103,5.356666381776427,0.5151273885350318,4.194386647205388,0.6271055414575922,0.005420645591755011,376.0289939466977,0.061660609462549934,1.0120103067929764,0.54308626033404,0.4736398078431723,28.539908955350793,60.25656729596659,65.79513659838392,50.28916384272063,46.872166581031856,70.00714249274854,2112.666666666637,32.72451379333291,0.2132426075976012,3733.912415180479,1.7673930649324068,2511.9999999999995
IMG-56F78D7F71,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-03F1BA49E0,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-2F73457616,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-AD2B6907E7,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-FF74DF2CB0,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-CA8DB0E356,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-D0FB6C7AE7,R2,available,success,dual-habitat,1.0,1,extractable,none,,2.356971001625061,4.088603973388672,6795.638078502065,3.4485752764239246,0.8759481310844421,2.9354683430539863,4.967684745788574,3.2325154193318806,0.5244355531504903,3.2603179216384888,1.304618000984192,3.6630667448043823,0.3588658928288577,3.300067520313047,-0.11015408803428209,13591.27615700413,0.10702765450361604,0.4412897024067381,79.55524304722302,959.8150921870804,-14.84909285092376,17.269175126074945,8.880822808342371,0.3142119326391962,2.2967348484996872,2.6997420929834792,3.521724818101148,0.42259544069632365,0.342583765980785,0.9651833027500024,0.8766731194504855,-0.0917041232574914,0.6711284695633266,0.35173009392792987,8.800466218952273,0.015639039140039303,6.4329414770789715,0.4501010861252443,0.04209501967046963,17.60093243790455,4.033484796627988,6.537499483604331,5.84487882668614,109.76923076923077,0.17591222879684418,3.1355091222879685,66.78525641025641,7.25,79.5,13.387820512820513,1140.5064102564102,0.23064693713230808,0.02747615988699091,0.267594549616499,20.247018475718875,0.009980147824321153,59.74452543108578,0.1045944634940983,7.474783667592953,79.0754453471989,1.3006183966296023,104.29405738918392,0.033871081007676655,0.028285652806423017,3.884478780861485,483.3039365711475,0.8443781316852885,0.9153106508875741,0.10252194730658244,0.9349403996927313,73.60254157113957,0.027035259457352193,17.42718446601942,0.08459798284475445,10.688872655292673,75.85922330097087,29.941747572815533,2510.378640776699,0.47341070098844285,0.03903444603014148,63.8252427184466,0.30983127533226507,0.5697632218034376,42.8509782146618,0.023281678676605286,5.568914886057011,0.3301282051282051,20.766141954943915,0.6900989597060567,0.01195107247216444,133.53879410540455,0.1128095926252928,0.7699947138033958,0.5988995286918379,0.43284612397282896,13.659762100160616,31.558009517992314,37.20215047547655,33.06055050963308,39.408120990476064,44.553338819890925,1156.8333333333333,18.90007702677813,0.49988680372381256,1066.0878201927212,0.9215569689030871,1248.0
IMG-37A61CD40F,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
