影像号,reader,input_status,pipeline_status,structural_state,habitat_present,extractable,status,failure_class,failure_reason,R_low__original_firstorder_10Percentile,R_low__original_firstorder_90Percentile,R_low__original_firstorder_Energy,R_low__original_firstorder_Entropy,R_low__original_firstorder_InterquartileRange,R_low__original_firstorder_Kurtosis,R_low__original_firstorder_Maximum,R_low__original_firstorder_Mean,R_low__original_firstorder_MeanAbsoluteDeviation,R_low__original_firstorder_Median,R_low__original_firstorder_Minimum,R_low__original_firstorder_Range,R_low__original_firstorder_RobustMeanAbsoluteDeviation,R_low__original_firstorder_RootMeanSquared,R_low__original_firstorder_Skewness,R_low__original_firstorder_TotalEnergy,R_low__original_firstorder_Uniformity,R_low__original_firstorder_Variance,R_low__original_glcm_Autocorrelation,R_low__original_glcm_ClusterProminence,R_low__original_glcm_ClusterShade,R_low__original_glcm_ClusterTendency,R_low__original_glcm_Contrast,R_low__original_glcm_Correlation,R_low__original_glcm_DifferenceAverage,R_low__original_glcm_DifferenceEntropy,R_low__original_glcm_DifferenceVariance,R_low__original_glcm_Id,R_low__original_glcm_Idm,R_low__original_glcm_Idmn,R_low__original_glcm_Idn,R_low__original_glcm_Imc1,R_low__original_glcm_Imc2,R_low__original_glcm_InverseVariance,R_low__original_glcm_JointAverage,R_low__original_glcm_JointEnergy,R_low__original_glcm_JointEntropy,R_low__original_glcm_MCC,R_low__original_glcm_MaximumProbability,R_low__original_glcm_SumAverage,R_low__original_glcm_SumEntropy,R_low__original_glcm_SumSquares,R_low__original_gldm_DependenceEntropy,R_low__original_gldm_DependenceNonUniformity,R_low__original_gldm_DependenceNonUniformityNormalized,R_low__original_gldm_DependenceVariance,R_low__original_gldm_GrayLevelNonUniformity,R_low__original_gldm_GrayLevelVariance,R_low__original_gldm_HighGrayLevelEmphasis,R_low__original_gldm_LargeDependenceEmphasis,R_low__original_gldm_LargeDependenceHighGrayLevelEmphasis,R_low__original_gldm_LargeDependenceLowGrayLevelEmphasis,R_low__original_gldm_LowGrayLevelEmphasis,R_low__original_gldm_SmallDependenceEmphasis,R_low__original_gldm_SmallDependenceHighGrayLevelEmphasis,R_low__original_gldm_SmallDependenceLowGrayLevelEmphasis,R_low__original_glrlm_GrayLevelNonUniformity,R_low__original_glrlm_GrayLevelNonUniformityNormalized,R_low__original_glrlm_GrayLevelVariance,R_low__original_glrlm_HighGrayLevelRunEmphasis,R_low__original_glrlm_LongRunEmphasis,R_low__original_glrlm_LongRunHighGrayLevelEmphasis,R_low__original_glrlm_LongRunLowGrayLevelEmphasis,R_low__original_glrlm_LowGrayLevelRunEmphasis,R_low__original_glrlm_RunEntropy,R_low__original_glrlm_RunLengthNonUniformity,R_low__original_glrlm_RunLengthNonUniformityNormalized,R_low__original_glrlm_RunPercentage,R_low__original_glrlm_RunVariance,R_low__original_glrlm_ShortRunEmphasis,R_low__original_glrlm_ShortRunHighGrayLevelEmphasis,R_low__original_glrlm_ShortRunLowGrayLevelEmphasis,R_low__original_glszm_GrayLevelNonUniformity,R_low__original_glszm_GrayLevelNonUniformityNormalized,R_low__original_glszm_GrayLevelVariance,R_low__original_glszm_HighGrayLevelZoneEmphasis,R_low__original_glszm_LargeAreaEmphasis,R_low__original_glszm_LargeAreaHighGrayLevelEmphasis,R_low__original_glszm_LargeAreaLowGrayLevelEmphasis,R_low__original_glszm_LowGrayLevelZoneEmphasis,R_low__original_glszm_SizeZoneNonUniformity,R_low__original_glszm_SizeZoneNonUniformityNormalized,R_low__original_glszm_SmallAreaEmphasis,R_low__original_glszm_SmallAreaHighGrayLevelEmphasis,R_low__original_glszm_SmallAreaLowGrayLevelEmphasis,R_low__original_glszm_ZoneEntropy,R_low__original_glszm_ZonePercentage,R_low__original_glszm_ZoneVariance,R_low__original_ngtdm_Busyness,R_low__original_ngtdm_Coarseness,R_low__original_ngtdm_Complexity,R_low__original_ngtdm_Contrast,R_low__original_ngtdm_Strength,R_low__original_shape_Elongation,R_low__original_shape_Flatness,R_low__original_shape_LeastAxisLength,R_low__original_shape_MajorAxisLength,R_low__original_shape_Maximum2DDiameterColumn,R_low__original_shape_Maximum2DDiameterRow,R_low__original_shape_Maximum2DDiameterSlice,R_low__original_shape_Maximum3DDiameter,R_low__original_shape_MeshVolume,R_low__original_shape_MinorAxisLength,R_low__original_shape_Sphericity,R_low__original_shape_SurfaceArea,R_low__original_shape_SurfaceVolumeRatio,R_low__original_shape_VoxelVolume
IMG-5B9E750116,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-81E9925726,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-FE253BFCC1,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-7F272E52C4,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-8EEA8E66A1,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-2586B3625A,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-9E2C4ABE0B,R2,available,success,dual-habitat,1.0,1,extractable,none,,1.3555670738220216,2.7597886562347416,91017.67175253473,3.202953117921168,0.7802605628967285,3.7849456484392054,6.014006614685059,2.072607371380622,0.44814664739769133,2.058718681335449,0.4601282775402069,5.553878337144852,0.3183487961433355,2.1474461910047045,0.42575697348241676,182035.34350506944,0.12568240134020153,0.315823827359323,63.21286419958423,556.5981693244795,4.338197637296902,13.911593631442232,4.464296923963787,0.5125001845409931,1.5517418312691227,2.290649310695194,2.0390503909570876,0.5172157567079623,0.45991882019424224,0.9925533976519323,0.9419905538319474,-0.09145953061995825,0.6488955037952132,0.43687178359318646,7.800697851968982,0.021965844282987503,5.968048218589545,0.5598157463243604,0.042021766575914846,15.60139570393796,3.9254761662496587,4.593972638851503,6.604744902122816,1844.7494046714294,0.09346655543757558,9.158830078264138,2480.593555251558,5.169321005533964,66.51177990576075,42.017277195115774,2601.5686781172417,0.8817031660421736,0.022133518789986494,0.1245710537429955,11.011349631128178,0.0030542477913476644,1965.4349183825866,0.1217398011113023,5.52830901661308,67.50246292261073,1.7939793835704039,116.74202537802095,0.039151870510144654,0.02232875694296169,4.069420795773185,11300.92942158962,0.6989084498340163,0.8179911996601462,0.29473005076604025,0.8618723589811582,58.9229186627105,0.019375280787653233,168.19886632026453,0.07945151928212779,13.114793552163036,96.15965989607936,15870.112895606992,1006034.9008030231,286.8021770044825,0.02575931742133,974.846008502598,0.4604846521032584,0.7056436079330337,71.94837634159053,0.018115705076699445,5.540129012266458,0.10726047524953133,15783.192725778164,9.994040713642553,0.0004298774730789052,276.22729572769606,0.02545966834628034,0.12076317731357049,0.6988787217244858,0.6559584573772058,39.31325014838707,59.9325303397684,71.42128534267637,61.032778078668514,54.40588203494176,71.98610977126073,39313.91666666667,41.885570193571304,0.38544700656420894,14506.088490533093,0.3689810052131605,39473.99999999999
IMG-56F78D7F71,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-03F1BA49E0,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-2F73457616,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-AD2B6907E7,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-FF74DF2CB0,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-CA8DB0E356,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMG-D0FB6C7AE7,R2,available,success,dual-habitat,1.0,1,extractable,none,,1.222226405143738,2.5050522327423095,32481.17135811257,3.0660586020149694,0.6323422789573669,4.217890871978697,4.410926818847656,1.8311469760438972,0.4014267744476184,1.7687129974365234,0.4568658173084259,3.9540610015392303,0.2660877088179437,1.9045090742392339,0.8073974547843102,64962.34271622514,0.14491230268845312,0.2740555659848749,48.43038330496138,599.3811789463688,30.51529152034486,12.169273973484287,4.362253573080183,0.4700567666877085,1.5520932383938957,2.2906962479161086,1.9242536353668163,0.517428761855741,0.46025214335689546,0.9857766228259076,0.9211250295590655,-0.0714823142469789,0.5673335224128612,0.43564049286682305,6.817487508706078,0.027212789913155882,5.797722746888086,0.4781763867323952,0.0613900841122896,13.634975017412152,3.786344702162101,4.132881886641116,6.447948654818128,818.9452819653825,0.09145117609887018,9.944464427728319,1297.6896705750978,4.513395739788339,51.51892797319933,44.30854271356784,1935.1517587939697,1.2567330197948048,0.02922366559968643,0.11581707514652288,8.525697299741921,0.003496492037942504,996.0715992132458,0.13680306379092075,4.927221210214118,53.01772393531394,1.8319807133083439,90.09952428362652,0.05312390546020011,0.02936902547343636,3.9626414531555216,5058.918223828835,0.6932054697925257,0.8129966069664563,0.3118887554984809,0.8583431342757846,46.550091527624694,0.025310159467199722,84.88260405549626,0.09058975886392344,11.001930592082408,81.74493062966916,9258.393810032017,382210.9818569904,247.59750835331286,0.031961810113125835,351.5336179295624,0.3751692827423292,0.6357801140719276,54.66076243290206,0.019192547083125566,5.705793143175522,0.10463428252372976,9167.05570470028,7.950940777013017,0.0008956800326303556,142.5139559404398,0.03648189891739923,0.11435575886395376,0.7717052044009086,0.46123950317024387,20.257275016692965,43.91921090335575,47.38143096192854,38.3275357934736,40.0,51.67204273105525,17867.25,33.89268362730076,0.5568149538790285,5935.787939170412,0.33221609028644095,17910.0
IMG-37A61CD40F,R2,not_available,not_available,not_available,,0,not_available,reader_input_unavailable,reader_input_missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
