analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,common_n,common_event_n,metric,left_estimate,right_estimate,delta_right_minus_left,left_source_run,right_source_run,left_training_population,right_training_population,fold_assignments_identical,common_population_rule
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,harrell_c_index_pooled,0.6094069128043991,0.5977611940298507,-0.011645718774548341,M0_common_R_low,M3L,R_low,R_low,True,True
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,uno_c_index,0.5819991367977677,0.5467048134841731,-0.03529432331359461,M0_common_R_low,M3L,R_low,R_low,True,True
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,3_year_auc,0.6552823263308181,0.6448372891776688,-0.010445037153149261,M0_common_R_low,M3L,R_low,R_low,True,True
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,3_year_brier,0.12221822681725306,0.12266288229353331,0.0004446554762802535,M0_common_R_low,M3L,R_low,R_low,True,True
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,5_year_auc,0.6675759748724892,0.6303076278137446,-0.0372683470587446,M0_common_R_low,M3L,R_low,R_low,True,True
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,120,5_year_brier,0.15199193664435928,0.154244379251086,0.002252442606726718,M0_common_R_low,M3L,R_low,R_low,True,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,harrell_c_index_pooled,0.666536889234962,0.6400622931672182,-0.026474596067743827,M0,M3L,main,R_low,not_applicable_external,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,uno_c_index,0.6823576912867892,0.6558066870105375,-0.02655100427625179,M0,M3L,main,R_low,not_applicable_external,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,3_year_auc,0.6416790381079097,0.61548341525926,-0.026195622848649736,M0,M3L,main,R_low,not_applicable_external,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,3_year_brier,0.12961903625137988,0.12768411060398754,-0.0019349256473923382,M0,M3L,main,R_low,not_applicable_external,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,5_year_auc,0.6824898690210272,0.660310379818495,-0.0221794892025321,M0,M3L,main,R_low,not_applicable_external,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,162,42,5_year_brier,0.16577357001834722,0.1722711066919304,0.006497536673583187,M0,M3L,main,R_low,not_applicable_external,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,harrell_c_index_pooled,0.6185771857158849,0.6154147542818762,-0.003162431434008739,M0_common_R_high,M3H,R_high,R_high,True,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,uno_c_index,0.6119170891628015,0.6002857160256866,-0.011631373137114931,M0_common_R_high,M3H,R_high,R_high,True,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,3_year_auc,0.6549494136259089,0.656154805316786,0.001205391690877189,M0_common_R_high,M3H,R_high,R_high,True,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,3_year_brier,0.12183070074759572,0.12287707451625904,0.0010463737686633168,M0_common_R_high,M3H,R_high,R_high,True,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,5_year_auc,0.6755739166716651,0.6562847858509891,-0.01928913082067596,M0_common_R_high,M3H,R_high,R_high,True,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,100,5_year_brier,0.15303429429808538,0.15360641446057752,0.0005721201624921401,M0_common_R_high,M3H,R_high,R_high,True,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,harrell_c_index_pooled,0.686664771111743,0.6889394370201877,0.0022746659084447174,M0,M3H,main,R_high,not_applicable_external,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,uno_c_index,0.7014876702239151,0.6807916397378064,-0.020696030486108685,M0,M3H,main,R_high,not_applicable_external,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,3_year_auc,0.6575444581434975,0.657207394092208,-0.0003370640512895262,M0,M3H,main,R_high,not_applicable_external,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,3_year_brier,0.13117011474528203,0.12616812914405273,-0.005001985601229303,M0,M3H,main,R_high,not_applicable_external,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,5_year_auc,0.7110019871629848,0.7158292987461187,0.004827311583133875,M0,M3H,main,R_high,not_applicable_external,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,131,35,5_year_brier,0.16427055077076622,0.15661198795262696,-0.007658562818139258,M0,M3H,main,R_high,not_applicable_external,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,harrell_c_index_pooled,0.6095544861844148,0.6125814964296802,0.0030270102452654157,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,uno_c_index,0.586227361436035,0.598590629133724,0.012363267697688918,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,3_year_auc,0.651994629964253,0.6515365691781744,-0.0004580607860785735,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,3_year_brier,0.12166632658602912,0.12140580150514275,-0.0002605250808863646,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,5_year_auc,0.6686855319566289,0.6655806759438574,-0.0031048560127715508,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,5_year_brier,0.15233846788560618,0.15199885220956885,-0.0003396156760373248,M0,M1,main,main,True,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,harrell_c_index_pooled,0.6677612516901681,0.6679544137531389,0.00019316206297081973,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,uno_c_index,0.6836483763408364,0.6850523003677716,0.0014039240269352327,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,3_year_auc,0.6427722260810529,0.6434359239745422,0.0006636978934893012,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,3_year_brier,0.1288332264633245,0.1288558288619232,2.2602398598692286e-05,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,5_year_auc,0.6835543018010097,0.682666769345155,-0.0008875324558547115,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,5_year_brier,0.164709895997406,0.1637893282323237,-0.0009205677650822863,M0,M1,main,main,not_applicable_external,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,harrell_c_index_pooled,0.6095544861844148,0.603287022663769,-0.006267463520645777,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,uno_c_index,0.586227361436035,0.5767388523858256,-0.009488509050209482,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,3_year_auc,0.651994629964253,0.6519367176871275,-5.7912277125482525e-05,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,3_year_brier,0.12166632658602912,0.1234248647720147,0.001758538185985578,M0,M2,main,main,True,True
