analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,left_eligible_n,right_eligible_n,common_eligible_n,total_target_n,coverage_percent,common_event_n,target_event_n,event_coverage_percent,fold_assignments_identical,common_population_rule
A,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,528,528,528,530,99.62264150943396,120,121,99.17355371900827,True,True
B,M0_vs_M3L,primary_clinical_value,M0,M3L,R_low,163,162,162,163,99.38650306748467,42,42,100.0,not_applicable_external,True
A,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,443,443,443,530,83.58490566037736,100,121,82.64462809917356,True,True
B,M0_vs_M3H,primary_clinical_value,M0,M3H,R_high,163,131,131,163,80.3680981595092,35,42,83.33333333333333,not_applicable_external,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,530,530,530,100.0,121,121,100.0,True,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,163,163,163,100.0,42,42,100.0,not_applicable_external,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,530,530,530,100.0,121,121,100.0,True,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,163,163,163,100.0,42,42,100.0,not_applicable_external,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,441,441,530,83.20754716981132,99,121,81.81818181818181,True,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,163,130,130,163,79.75460122699387,35,42,83.33333333333333,not_applicable_external,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,530,530,530,100.0,121,121,100.0,True,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,163,163,163,100.0,42,42,100.0,not_applicable_external,True
A,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,528,528,528,530,99.62264150943396,120,121,99.17355371900827,True,True
B,M2_vs_M3L,habitat_radiomics_incremental,M2,M3L,R_low,162,162,162,163,99.38650306748467,42,42,100.0,not_applicable_external,True
A,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,443,443,443,530,83.58490566037736,100,121,82.64462809917356,True,True
B,M2_vs_M3H,habitat_radiomics_incremental,M2,M3H,R_high,131,131,131,163,80.3680981595092,35,42,83.33333333333333,not_applicable_external,True
A,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,530,530,530,530,100.0,121,121,100.0,True,True
B,M1_vs_M2,habitat_radiomics_incremental_supporting,M1,M2,main,163,163,163,163,100.0,42,42,100.0,not_applicable_external,True
A,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,441,441,441,530,83.20754716981132,99,121,81.81818181818181,True,True
B,M2_vs_M4,habitat_radiomics_incremental_supporting,M2,M4,dual_radiomics,130,130,130,163,79.75460122699387,35,42,83.33333333333333,not_applicable_external,True
A,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,441,441,441,530,83.20754716981132,99,121,81.81818181818181,True,True
B,M3L_vs_M3H,secondary_head_to_head,M3L,M3H,dual_radiomics,130,130,130,163,79.75460122699387,35,42,83.33333333333333,not_applicable_external,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,441,441,530,83.20754716981132,99,121,81.81818181818181,True,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,130,130,163,79.75460122699387,35,42,83.33333333333333,not_applicable_external,True
