analysis_side,run_id,eligible_n,total_target_n,coverage_percent,event_n,target_event_n,event_coverage_percent
A,M0,530,530,100.0,121,121,100.0
A,M1,530,530,100.0,121,121,100.0
A,M2,530,530,100.0,121,121,100.0
A,M0_W_Original,530,530,100.0,121,121,100.0
A,M5,530,530,100.0,121,121,100.0
A,M2_R_low,528,530,99.62264150943396,120,121,99.17355371900828
A,M3L,528,530,99.62264150943396,120,121,99.17355371900828
A,M2_R_high,443,530,83.58490566037736,100,121,82.64462809917356
A,M3H,443,530,83.58490566037736,100,121,82.64462809917356
A,M2_dual,441,530,83.20754716981132,99,121,81.81818181818181
A,M3L_dual,441,530,83.20754716981132,99,121,81.81818181818181
A,M3H_dual,441,530,83.20754716981132,99,121,81.81818181818181
A,M4,441,530,83.20754716981132,99,121,81.81818181818181
A,M5_dual,441,530,83.20754716981132,99,121,81.81818181818181
B,M0,163,163,100.0,42,42,100.0
B,M1,163,163,100.0,42,42,100.0
B,M2,163,163,100.0,42,42,100.0
B,M0_W_Original,163,163,100.0,42,42,100.0
B,M5,163,163,100.0,42,42,100.0
B,M2_R_low,162,163,99.38650306748468,42,42,100.0
B,M3L,162,163,99.38650306748468,42,42,100.0
B,M2_R_high,131,163,80.3680981595092,35,42,83.33333333333333
B,M3H,131,163,80.3680981595092,35,42,83.33333333333333
B,M2_dual,130,163,79.75460122699387,35,42,83.33333333333333
B,M3L_dual,130,163,79.75460122699387,35,42,83.33333333333333
B,M3H_dual,130,163,79.75460122699387,35,42,83.33333333333333
B,M4,130,163,79.75460122699387,35,42,83.33333333333333
B,M5_dual,130,163,79.75460122699387,35,42,83.33333333333333
