analysis_side,model_id,metric,primary_v2_estimate,sensitivity_693_estimate,delta_sensitivity_minus_primary,primary_v2_source,comparison_population
A,M0,harrell_c_index_pooled,0.6159125396606429,0.6095544861844148,-0.006358053476228087,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M0,uno_c_index,0.6639651389351031,0.586227361436035,-0.07773777749906807,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M0,3_year_auc,0.6560558563856285,0.651994629964253,-0.004061226421375519,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M0,3_year_brier,0.14110163594773142,0.1216663265860291,-0.01943530936170232,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M0,5_year_auc,0.682359057542355,0.6686855319566289,-0.013673525585726098,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M0,5_year_brier,0.1803197789051801,0.1523384678856061,-0.027981311019574018,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,harrell_c_index_pooled,0.6163953648779142,0.6125814964296802,-0.003813868448234059,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,uno_c_index,0.6619474990530314,0.598590629133724,-0.06335686991930745,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,3_year_auc,0.654702952134297,0.6515365691781744,-0.003166382956122593,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,3_year_brier,0.14131610777731543,0.1214058015051427,-0.01991030627217273,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,5_year_auc,0.677605552574602,0.6655806759438574,-0.012024876630744585,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M1,5_year_brier,0.1804534461403518,0.1519988522095688,-0.028454593930783006,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,harrell_c_index_pooled,0.6091184991033246,0.603287022663769,-0.005831476439555616,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,uno_c_index,0.6397619213931937,0.5767388523858256,-0.0630230690073681,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,3_year_auc,0.6479197633990506,0.6519367176871275,0.004016954288076913,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,3_year_brier,0.1457476669093951,0.1234248647720147,-0.022322802137380415,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,5_year_auc,0.6570022890859956,0.6480819433705894,-0.00892034571540612,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M2,5_year_brier,0.18420617643139445,0.1541778545843187,-0.03002832184707574,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,harrell_c_index_pooled,0.6318814171076147,0.5977611940298507,-0.03412022307776397,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,uno_c_index,0.6485433766798562,0.5467048134841731,-0.10183856319568307,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,3_year_auc,0.6489128603875554,0.6448372891776688,-0.004075571209886553,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,3_year_brier,0.13786654543986426,0.1226628822935332,-0.015203663146331065,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,5_year_auc,0.6746340786583105,0.6303076278137446,-0.04432645084456588,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3L,5_year_brier,0.17530472273317993,0.154244379251086,-0.02106034348209393,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,harrell_c_index_pooled,0.6205094709340301,0.6154147542818762,-0.005094716652153886,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,uno_c_index,0.6567463213240758,0.6002857160256866,-0.056460605298389255,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,3_year_auc,0.6600559756663553,0.656154805316786,-0.0039011703495692718,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,3_year_brier,0.1424009686330552,0.122877074516259,-0.01952389411679621,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,5_year_auc,0.6910005293339566,0.6562847858509891,-0.034715743482967465,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M3H,5_year_brier,0.1799659407517603,0.1536064144605775,-0.026359526291182822,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
